X,Y
0,12.4750
1,12.4167
2,12.6250
3,12.6750
4,12.5167
5,12.5500
6,12.8333
7,12.8417
8,13.6167
9,13.6917
10,14.7750
11,14.9083
12,17.1333
13,17.3833
14,20.5167
15,20.8917
16,25.4167
17,25.8750
18,31.2500
19,31.9083
20,37.7417
21,38.1500
22,43.8083
23,44.3250
24,48.3667
25,48.8000
26,51.4667
27,51.7250
28,51.7917
29,51.4667
30,47.6917
31,47.2333
32,41.5583
33,40.7167
34,34.8917
35,34.4583
36,29.4083
37,29.1417
38,27.3000
39,27.2500
40,27.7250
41,27.8417
42,29.5500
43,29.7000
44,32.1333
45,32.4417
46,37.0500
47,37.5917
48,42.7583
49,43.6333
50,49.6250
51,50.0750
52,56.3750
53,57.0333
54,63.3250
55,63.8583
56,69.1333
57,69.5250
58,71.4000
59,71.5667
60,70.9417
61,70.5000
62,64.3250
63,63.3750
64,53.9417
65,52.9167
66,40.8667
67,39.6333
68,31.2500
69,30.7750
70,27.6250
71,27.2250
72,26.6500
73,26.8250
74,26.5833
75,26.6417
76,27.3667
77,27.3333
78,29.3083
79,29.6167
80,32.9083
81,33.4500
82,38.4667
83,38.9000
84,44.0000
85,44.5417
86,50.6667
87,51.4500
88,61.5833
89,62.8500
90,73.5833
91,74.4333
92,79.4000
93,79.5250
94,79.6917
95,79.6750
96,78.1583
97,77.7667
98,70.7750
99,69.8167
100,59.6500
101,58.4000
102,44.3583
103,42.8667
104,32.0083
105,31.4000
106,27.6417
107,27.3500
108,25.4917
109,25.2833
110,24.8667
111,24.9583
112,24.7917
113,24.6417
114,25.4250
115,25.7667
116,27.5417
117,27.8833
118,30.8167
119,30.9500
120,34.4667
121,34.8250
122,39.7000
123,40.2167
124,44.7083
125,45.2917
126,53.1917
127,54.0000
128,66.0000
129,67.5833
130,81.6333
131,82.6833
132,88.9750
133,89.5083
134,88.9000
135,88.2583
136,82.7583
137,82.5833
138,78.5500
139,77.6667
140,66.5583
141,65.4083
142,56.5917
143,55.7417
144,45.2667
145,43.8917
146,34.3667
147,33.6583
148,29.1000
149,29.0000
150,26.5000
151,26.2167
152,24.9667
153,24.8083
154,24.8667
155,24.7833
156,25.1750
157,25.3917
158,26.3750
159,26.3833
160,28.0917
161,28.3333
162,31.1750
163,31.5583
164,35.1583
165,35.6083
166,39.7250
167,40.3250
168,45.6000
169,45.9583
170,52.4583
171,53.3333
172,63.8917
173,65.1750
174,78.5417
175,79.9500
176,90.4833
177,91.1000
178,94.8667
179,95.1167
180,93.2167
181,92.6000
182,86.9167
183,86.3000
184,80.6500
185,79.8500
186,70.6833
187,69.5750
188,60.9833
189,60.4333
190,53.7083
191,52.9167
192,42.8917
193,41.8083
194,35.0250
195,34.4833
196,29.9000
197,29.3500
198,27.0833
199,27.1000
200,25.8750
201,25.7667
202,25.3833
203,25.2750
204,25.1833
205,25.2000
206,26.5667
207,26.7750
208,28.2000
209,28.2500
210,30.3083
211,30.8167
212,34.0417
213,34.1917
214,37.3833
215,37.7333
216,41.5667
217,42.0250
218,47.0833
219,47.6917
220,53.5750
221,54.3167
222,62.7250
223,63.7667
224,75.3000
225,76.6000
226,87.1500
227,88.0250
228,95.7000
229,96.4250
230,98.2333
231,98.1917
232,96.7083
233,96.3333
234,91.8500
235,91.1667
236,84.1167
237,83.2750
238,76.9917
239,76.3833
240,68.1833
241,67.2583
242,60.1917
243,59.6333
244,54.6833
245,53.9167
246,45.9000
247,45.2833
248,38.1667
249,37.4500
250,32.6417
251,31.9667
252,29.3500
253,29.3833
254,27.7333
255,27.5750
256,26.6333
257,26.5500
258,26.1583
259,26.2750
260,26.1583
261,26.0667
262,27.3750
263,27.4417
264,28.4417
265,28.7667
266,30.1500
267,30.0833
268,32.3333
269,32.6500
270,35.1083
271,35.4750
272,38.1250
273,38.3000
274,41.6250
275,41.9500
276,45.8500
277,46.3167
278,51.3250
279,51.8417
280,58.1583
281,59.0000
282,66.8333
283,67.5917
284,76.8333
285,77.8917
286,85.7250
287,86.5750
288,94.1333
289,94.7583
290,97.8500
291,98.1750
292,98.7333
293,98.5250
294,98.2167
295,98.1833
296,96.0667
297,95.6250
298,91.0583
299,90.5083
300,85.1833
301,84.6250
302,80.0250
303,79.4667
304,71.3667
305,70.3500
306,63.6250
307,63.2333
308,59.4333
309,59.0583
310,54.2417
311,53.4250
312,46.6667
313,46.1667
314,41.1750
315,40.6167
316,35.9583
317,35.5417
318,32.4917
319,32.2917
320,30.4583
321,30.3667
322,29.2833
323,29.0750
324,27.9667
325,27.9083
326,27.2417
327,27.1583
328,26.9583
329,26.9833
330,27.0500
331,27.2333
332,27.5250
333,27.4750
334,28.5833
335,28.7167
336,29.9333
337,30.0833
338,31.4833
339,31.5583
340,33.4667
341,33.6750
342,35.7417
343,35.9417
344,38.2833
345,38.4250
346,40.8500
347,41.1667
348,43.8250
349,44.2083
350,47.3000
351,47.6833
352,51.2833
353,51.6500
354,56.4917
355,56.9833
356,61.9000
357,62.4750
358,68.1833
359,68.9167
360,75.0750
361,75.8083
362,81.6500
363,82.0500
364,87.8417
365,88.5583
366,93.9833
367,94.6167
368,97.4000
369,97.6250
370,98.7083
371,99.0083
372,99.0500
373,98.9250
374,98.9250
375,99.0750
376,99.0583
377,98.8000
378,98.7167
379,98.4000
380,97.8667
381,97.8083
382,95.9500
383,95.5000
384,92.0583
385,91.7250
386,89.7750
387,89.3833
388,86.3000
389,86.0750
390,82.1833
391,81.7000
392,76.5417
393,76.1333
394,71.1750
395,70.5417
396,66.9917
397,66.8417
398,64.0167
399,63.8083
400,60.7833
401,60.3250
402,56.9417
403,56.4667
404,52.0833
405,51.7250
406,48.2167
407,47.9833
408,45.1333
409,44.6500
410,41.6583
411,41.4417
412,38.7917
413,38.3667
414,36.3750
415,36.2000
416,34.6333
417,34.5667
418,33.7000
419,33.6167
420,32.8917
421,32.8917
422,31.5083
423,31.4417
424,31.2250
425,31.0500
426,30.2417
427,30.3167
428,29.9417
429,29.8667
430,29.6417
431,29.4917
432,29.4083
433,29.4750
434,29.3667
435,29.3333
436,29.3583
437,29.4417
438,29.5750
439,29.5500
440,30.0000
441,30.1500
442,30.5750
443,30.4583
444,30.8833
445,31.0083
446,31.3417
447,31.4000
448,32.3333
449,32.2750
450,32.6083
451,32.6083
452,33.3750
453,33.4750
454,34.0417
455,34.2833
456,35.2583
457,35.2583
458,36.2000
459,36.3083
460,37.1917
461,37.2333
462,38.4917
463,38.6250
464,39.5167
465,39.6833
466,41.0333
467,41.1500
468,41.5917
469,41.5250
470,42.9833
471,43.2000
472,44.4583
473,44.4917
474,45.4667
475,45.7083
476,46.8500
477,47.0083
478,48.6333
479,48.5750
480,50.0250
481,50.0083
482,51.1250
483,51.5000
484,52.4917
485,52.6500
486,54.4000
487,54.4667
488,55.5833
489,55.6500
490,56.8333
491,56.7750
492,58.2917
493,58.4083
494,59.6000
495,60.0083
496,61.3500
497,61.4583
498,62.5417
499,62.5833
500,64.0917
501,64.3750
502,65.0417
503,64.8333
504,65.7417
505,66.0750
506,67.3167
507,67.3667
508,68.8000
509,69.0667
510,70.4333
511,70.3500
512,70.8417
513,70.9833
514,72.0083
515,72.0917
516,73.1083
517,73.3083
518,74.3000
519,74.1000
520,74.5917
521,74.9500
522,75.3417
523,75.2250
524,76.2667
525,76.3500
526,77.3417
527,77.6333
528,78.1667
529,78.0250
530,78.0333
