X,Y
0,13.4083
1,13.3917
2,14.0417
3,14.2083
4,15.4917
5,15.5667
6,18.1833
7,18.4750
8,21.9833
9,22.4500
10,26.8583
11,27.1750
12,31.7667
13,32.4750
14,36.8917
15,37.1167
16,39.4583
17,39.5167
18,38.8333
19,38.6083
20,35.6917
21,35.3333
22,30.3417
23,29.7833
24,25.2583
25,24.9000
26,22.9333
27,22.6917
28,22.9833
29,23.3333
30,25.2000
31,25.3333
32,28.8667
33,29.6083
34,34.4083
35,35.0667
36,40.4417
37,40.6333
38,45.6417
39,46.2667
40,51.8750
41,52.3917
42,58.0167
43,58.4500
44,63.8250
45,64.0750
46,67.2000
47,67.6500
48,68.9167
49,68.6333
50,61.6083
51,60.4750
52,47.2000
53,45.7417
54,35.3250
55,34.6500
56,29.8417
57,29.7000
58,27.5000
59,27.3167
60,27.2000
61,27.1417
62,27.9667
63,28.1333
64,30.3250
65,30.6000
66,34.6500
67,35.1750
68,39.1167
69,39.3667
70,42.9917
71,43.5667
72,48.1833
73,48.7167
74,56.1667
75,57.1167
76,66.6833
77,67.4667
78,76.5583
79,77.4167
80,78.1250
81,77.8917
82,78.4833
83,78.6917
84,78.0917
85,77.0750
86,58.9083
87,56.4750
88,35.7583
89,34.3750
90,27.7833
91,27.6667
92,25.9417
93,25.8583
94,25.1583
95,24.9333
96,24.2500
97,24.2083
98,24.8000
99,24.9417
100,27.2500
101,27.5500
102,30.6917
103,31.0750
104,34.2750
105,34.4750
106,37.8417
107,38.3333
108,42.8250
109,43.0917
110,49.0417
111,49.9833
112,57.4417
113,58.3333
114,70.5583
115,72.1083
116,88.2500
117,89.5167
118,91.6500
119,90.7667
120,81.3833
121,81.0833
122,80.1083
123,80.0167
124,76.2917
125,75.1667
126,56.8250
127,54.5000
128,36.8167
129,35.7833
130,28.9750
131,28.4917
132,26.4333
133,26.3833
134,25.0500
135,24.8833
136,24.1750
137,24.1250
138,24.4583
139,24.4417
140,25.1917
141,25.5000
142,27.6917
143,27.9750
144,31.3833
145,31.6083
146,34.3083
147,34.7167
148,38.2167
149,38.4917
150,42.5583
151,42.9750
152,47.5083
153,48.2000
154,54.3583
155,54.9083
156,64.9083
157,66.5250
158,81.7417
159,83.2500
160,95.8083
161,96.5167
162,95.2917
163,94.1333
164,85.0250
165,84.3083
166,77.6417
167,77.1833
168,74.2667
169,73.8333
170,66.8167
171,65.7000
172,48.6167
173,46.8833
174,34.9417
175,34.5167
176,29.8667
177,29.1833
178,27.5000
179,27.5250
180,26.0667
181,25.7833
182,24.7167
183,24.5833
184,24.8750
185,24.9917
186,26.1667
187,26.1750
188,27.9083
189,28.1083
190,29.9083
191,30.3500
192,32.9083
193,33.1333
194,35.6417
195,36.0000
196,38.9917
197,39.2917
198,43.0333
199,43.4750
200,47.2167
201,47.6833
202,53.7250
203,54.3250
204,62.7750
205,63.7917
206,75.3500
