X,Y
0,12.8833
1,13.1000
2,14.0250
3,14.1583
4,15.5083
5,15.5750
6,17.8083
7,17.8917
8,21.1500
9,21.6583
10,26.0833
11,26.4833
12,30.6750
13,31.1583
14,34.8917
15,35.2583
16,38.2083
17,38.3833
18,38.6167
19,38.4750
20,36.1250
21,35.5583
22,30.7583
23,30.4917
24,26.2000
25,25.7583
26,23.4417
27,23.2167
28,22.9417
29,23.1417
30,24.7917
31,25.0167
32,28.8667
33,29.2667
34,33.8333
35,34.3167
36,38.6000
37,39.0250
38,44.0583
39,44.6500
40,50.4000
41,50.7833
42,55.8833
43,56.5917
44,60.9250
45,61.0417
46,63.2333
47,63.5250
48,65.1500
49,65.0583
50,62.0667
51,61.3500
52,49.4167
53,48.1167
54,37.2417
55,36.2667
56,30.0917
57,29.9583
58,27.7083
59,27.4750
60,26.2667
61,26.2667
62,27.1750
63,27.2250
64,29.5083
65,29.9500
66,33.1500
67,33.3833
68,37.2750
69,37.7000
70,40.9500
71,41.4083
72,46.6500
73,47.1917
74,54.8583
75,55.7667
76,65.4917
77,66.6250
78,74.2750
79,74.5250
80,71.5917
81,71.3417
82,70.7250
83,71.1833
84,76.0500
85,75.5667
86,64.4500
87,62.5000
88,40.5500
89,38.9750
90,29.7167
91,29.3083
92,26.2250
93,25.9000
94,24.1667
95,24.0167
96,23.6750
97,23.6833
98,24.3750
99,24.3250
100,26.7583
101,27.1500
102,30.1833
103,30.6083
104,33.8417
105,34.1000
106,36.6250
107,36.7833
108,40.0917
109,40.5833
110,46.0167
111,46.5500
112,55.1250
113,56.3250
114,70.2833
115,71.9333
116,86.4083
117,87.3333
118,85.5167
119,84.5333
120,74.9167
121,74.4917
122,74.2333
123,74.0917
124,73.8667
125,73.5667
126,63.4917
127,61.7333
128,41.9583
129,40.4833
130,31.2833
131,30.7750
132,27.1667
133,26.7250
134,24.7750
135,24.7833
136,23.5583
137,23.5417
138,23.9333
139,24.1083
140,25.2583
141,25.1833
142,27.6583
143,27.9333
144,30.2750
145,30.5417
146,33.5000
147,33.8750
148,36.1917
149,36.3917
150,39.2333
151,39.4500
152,44.4500
153,45.2167
154,52.4000
155,53.2083
156,63.8667
157,65.2250
158,80.1750
159,81.5833
160,91.6583
161,92.1333
162,88.9500
163,88.0250
164,78.5083
165,77.9000
166,72.5167
167,71.9750
168,70.7083
169,70.6667
170,68.8000
171,68.1500
172,55.1083
173,53.5833
174,39.3167
175,38.2333
176,31.0667
177,30.6000
178,27.7417
179,27.4583
180,25.7583
181,25.7000
182,24.6167
183,24.4833
184,24.4083
185,24.5583
186,25.5750
187,25.5417
188,26.7333
189,27.1333
190,29.4333
191,29.5750
192,31.8333
193,31.8500
194,34.2000
195,34.4250
196,36.5250
197,36.8583
198,40.5083
199,40.8917
200,45.5000
201,46.1250
202,51.8833
203,52.5417
204,61.4083
205,62.7333
206,75.5417
207,76.7083
208,89.0917
209,90.3917
210,96.5417
211,96.5583
212,91.9667
213,90.9000
214,80.7500
215,79.9750
216,73.1417
217,72.6583
218,70.9750
219,70.9583
220,70.1417
221,69.8583
222,64.2083
223,63.1667
224,50.1667
225,48.6583
226,37.9667
227,37.3917
228,31.9917
229,31.4667
230,29.0333
231,28.8583
232,27.0000
233,26.8667
234,25.1667
235,25.1333
236,24.9000
237,24.9917
238,25.5333
239,25.4667
240,26.5583
241,26.6500
242,27.9667
243,28.1083
244,30.0833
245,30.3500
246,31.8500
247,31.9417
248,33.9583
249,34.2000
250,36.1833
251,36.4167
252,39.2833
253,39.5250
254,43.0583
255,43.4083
256,48.4667
257,49.1000
258,54.2333
259,54.8583
260,62.8167
261,63.6500
262,73.3833
263,74.5250
264,85.3917
265,86.5417
266,94.6583
267,95.2917
268,98.4833
269,98.4583
270,95.5500
271,94.6833
272,83.9000
273,82.8250
274,74.9250
275,74.2167
276,71.7167
277,71.6083
278,70.4500
279,70.4333
280,69.3083
281,69.1417
282,65.1583
283,64.5583
284,55.3083
285,54.1083
286,44.1917
287,43.2000
288,36.3250
289,35.6750
290,32.3583
291,32.2417
292,30.1750
293,30.0500
294,28.1167
295,27.8333
296,26.4333
297,26.4250
298,25.7417
299,25.8083
300,25.5917
301,25.5167
302,25.9917
303,26.0667
304,27.1750
305,27.3000
306,28.2750
307,28.2250
308,29.3667
309,29.4417
310,30.7833
311,31.0417
312,32.3167
313,32.5750
314,34.6167
315,34.7167
316,36.3000
317,36.6167
318,39.1333
319,39.3083
320,42.3833
321,42.8667
322,46.6417
323,47.0000
324,51.8333
325,52.3083
326,56.7167
327,57.2583
328,63.6667
329,64.4167
330,70.5833
331,70.9833
332,78.8583
333,79.8583
334,87.6083
335,88.1083
336,93.4833
337,94.3750
338,97.8167
339,98.1083
340,98.9750
341,99.2667
342,99.3167
343,99.0833
344,96.4083
345,95.3667
346,88.1000
347,87.2917
348,80.5833
349,80.1500
350,76.1667
351,76.0250
352,74.1917
353,74.0083
354,73.2167
355,73.1417
356,71.7333
357,71.4083
358,70.0167
359,69.8167
360,67.2417
361,66.8500
362,61.0583
363,60.3833
364,53.7083
365,52.9333
366,45.6500
367,45.1167
368,40.1083
369,39.6333
370,35.9667
371,35.6083
372,33.3167
373,33.1500
374,32.1333
375,32.0000
376,30.4417
377,30.2833
378,29.1250
379,28.9833
380,27.5000
381,27.4750
382,27.0667
383,26.9833
384,26.7833
385,26.8250
386,27.0167
387,27.0500
388,27.3833
389,27.3333
390,28.0417
391,28.1333
392,28.7500
393,28.7250
394,29.8167
395,29.9750
396,30.9917
397,31.1167
398,31.6750
399,31.9250
400,32.9333
401,32.8250
402,33.4000
403,33.3750
404,34.6917
405,34.9917
406,35.7250
407,35.7833
408,37.1833
409,37.3917
410,38.8667
411,38.9250
412,40.5500
413,40.8083
414,43.1667
415,43.3417
416,45.0667
417,45.3750
418,47.6250
419,47.6917
420,50.3167
421,50.7167
422,53.6750
423,54.2250
424,56.7500
425,56.6667
426,59.9833
427,60.6500
428,63.4500
429,63.5333
430,67.2250
431,67.6167
432,70.7500
433,71.1500
434,74.9417
435,75.3833
436,78.2833
437,78.4833
438,82.8250
439,83.0833
440,86.7917
441,87.2167
442,89.8417
443,90.2250
444,93.7417
445,94.3167
446,96.4000
447,96.5500
448,98.1250
449,98.5167
450,98.7750
451,98.9000
452,99.1167
453,99.4167
454,99.4333
455,99.5167
456,99.5417
457,99.7667
458,99.7583
459,99.8083
460,99.7833
461,99.6667
462,99.7083
463,99.3083
464,99.2833
465,99.3167
466,99.2167
467,98.8250
468,98.8083
469,98.7417
470,98.2667
471,98.2083
472,96.5917
473,95.9250
474,93.8833
475,93.7000
476,91.2333
477,91.0083
478,88.4000
479,88.0917
480,86.5000
481,86.5917
482,85.0667
483,84.7083
484,83.2333
485,83.0833
486,82.1500
487,82.1000
488,81.0500
489,81.0417
490,80.3583
491,80.3917
492,79.7417
493,79.5000
494,79.6583
495,79.5250
496,79.3750
497,79.4167
498,78.7417
499,78.6750
500,78.8250
501,78.8583
502,78.5583
503,78.6917
504,78.6583
505,78.7667
506,79.0833
507,78.9250
508,78.6167
509,78.4000
510,78.7167
511,79.0500
512,78.8667
513,78.8833
514,78.9083
515,78.7833
516,79.0583
517,79.0917
518,78.5250
519,78.4167
520,79.3167
521,79.4417
522,78.2750
523,78.2750
524,78.4417
525,78.2917
526,77.7167
527,77.8667
528,77.8583
529,77.8000
530,77.3500
531,77.3750
532,77.4917
533,77.5333
534,77.4750
535,77.3583
536,76.4000
537,76.3417
538,76.6083
539,76.6917
540,75.9500
541,75.9500
542,76.6500
543,76.4083
544,76.1583
545,76.2250
546,75.7333
547,75.9667
548,76.3417
549,76.2000
550,76.3500
551,76.3667
552,76.4833
553,76.2583
554,76.4333
555,76.6917
556,76.8750
557,76.9000
558,77.4000
559,77.4500
560,77.5750
561,77.3583
562,77.0667
563,77.2500
564,78.0333
565,78.0833
566,78.1583
567,77.9833
568,78.4500
569,78.7500
570,78.8000
571,79.0083
572,78.8000
573,78.7083
574,78.5417
575,78.1917
576,78.7500
577,79.0583
578,79.0917
579,79.1833
580,79.0250
581,78.9750
582,79.3250
583,79.2833
584,78.9167
585,78.9417
586,79.3833
587,79.2500
588,78.8000
589,78.8750
590,78.3917
591,78.4250
592,78.1167
593,78.0667
594,77.9167
595,77.7750
596,78.5083
597,78.3333
598,77.6583
599,77.6333
600,77.9583
601,78.0333
602,78.2167
603,78.3750
604,78.0333
605,77.8833
606,78.2667
607,78.7083
608,79.7667
609,79.5250
610,79.4417
611,79.5333
612,80.3667
613,80.4750
614,82.0333
615,82.2583
616,83.4667
617,83.4833
618,85.1167
619,85.3083
620,87.7000
621,88.0833
622,90.6667
623,91.0083
624,93.5500
625,93.6167
626,95.9750
627,96.4833
628,98.2750
629,98.5583
630,98.7667
631,99.1583
632,99.2167
633,99.0500
634,99.1167
635,99.5417
636,99.5333
637,99.5250
638,99.5000
639,99.5000
640,99.4667
641,99.4250
642,99.4167
643,99.1250
644,99.1167
645,99.0500
646,98.9083
647,98.4750
648,97.6667
649,97.6083
650,96.0833
651,95.3833
652,92.7083
653,92.5833
654,89.3833
655,88.9417
656,85.0000
657,84.7333
658,81.1167
659,80.9917
660,78.0500
661,77.2500
662,75.6000
663,75.6417
664,72.2250
665,71.8583
666,69.9083
667,69.6083
668,66.8083
669,66.6167
670,64.4083
671,64.1583
672,61.1500
673,60.9917
674,58.6167
675,58.3833
676,55.6417
677,55.2000
678,53.1833
679,53.0750
680,51.3750
681,51.0833
682,48.7250
683,48.4250
684,45.9500
685,45.7417
686,42.8333
687,42.5083
688,40.1083
689,40.0083
690,37.1833
691,36.7417
692,34.0000
693,33.8000
694,31.6500
695,31.5833
696,29.8583
697,29.6667
698,27.9917
699,27.7417
700,26.6417
701,26.6000
702,25.6500
703,25.4583
704,24.4083
705,24.4750
706,23.7167
707,23.3583
708,22.9667
709,23.2500
710,23.0000
711,22.7583
712,22.5167
713,22.5750
714,23.2250
715,23.4167
716,23.6583
717,23.7000
718,24.7417
719,24.8667
720,26.1833
721,26.2000
722,27.7833
723,28.0000
724,30.8000
725,31.1667
726,34.6583
727,35.1417
728,40.7250
729,41.3333
730,47.8250
731,48.5417
732,55.9333
733,56.4333
734,62.3750
735,63.1250
736,66.6500
737,66.9333
738,68.7083
739,68.7417
740,69.2083
741,69.0250
742,68.5750
743,68.6917
744,68.8000
745,68.9333
746,69.7083
747,69.8167
748,71.9250
749,72.0167
750,76.4833
751,77.1167
752,82.8417
753,83.5917
754,90.6333
755,91.1000
756,94.4417
757,94.5250
758,94.6667
759,94.7417
760,91.7250
761,91.1083
762,86.6583
763,86.2667
764,80.1583
765,79.4417
766,74.0333
767,73.6167
768,68.4667
769,68.1083
770,64.8500
771,64.4417
772,61.2750
773,60.8500
774,57.6417
775,57.3667
776,53.7000
777,53.3917
778,50.1250
779,49.5500
780,45.5250
781,44.9750
782,40.5667
783,40.2167
784,36.1833
785,35.8917
786,32.1083
787,31.7417
788,28.3083
789,27.9667
790,25.5500
791,25.3167
792,22.8083
793,22.6500
794,21.2917
795,21.1917
796,19.9583
797,19.9917
798,19.7083
799,19.4417
800,19.9500
801,20.1583
802,21.0833
803,21.2333
804,23.4000
805,23.6917
806,27.1417
807,27.5833
808,33.1167
809,33.7000
810,41.6250
811,42.6000
812,52.3917
813,53.3083
814,60.3667
815,60.7917
816,62.2833
817,62.3417
818,62.1333
819,62.0917
820,61.6583
821,61.6333
822,61.5750
823,61.6917
824,64.1833
825,64.7333
826,69.7917
827,70.4000
828,78.3750
829,79.1167
830,83.1750
831,82.9417
832,80.9083
833,80.8417
834,75.5917
835,75.0083
836,69.4500
837,68.8583
838,63.5417
839,62.7083
840,58.3167
841,58.0750
842,54.8000
843,54.5750
844,50.8667
845,50.3333
846,46.2083
847,45.7583
848,40.7917
849,40.1333
850,34.7667
851,34.1833
852,29.2500
853,28.8750
854,24.6333
855,24.3417
856,20.9250
857,20.5833
858,18.1917
859,18.0833
860,16.7500
861,16.6083
862,16.6333
863,16.5917
864,17.4083
865,17.7250
866,20.0000
867,20.1000
868,23.6417
869,24.0917
870,29.5667
871,30.3417
872,39.3333
873,40.5083
874,51.3750
875,52.4000
876,58.3000
877,58.6667
878,58.7417
879,58.1833
880,55.4833
881,55.4167
882,53.9500
883,53.9500
884,55.6917
885,55.8750
886,61.4917
887,62.4083
888,69.9667
889,70.4833
890,71.0917
891,70.7417
892,65.7083
893,64.9417
894,58.7000
895,58.2750
896,54.7667
897,54.6250
898,49.8333
899,49.1583
900,43.4083
901,42.9917
902,38.7750
903,38.2083
904,30.4417
905,29.6333
906,22.3750
907,21.8167
908,18.2250
909,17.8833
910,15.6750
911,15.6417
912,14.6250
913,14.4083
914,13.9083
915,14.0250
916,14.5167
917,14.5667
918,15.9000
919,16.0583
920,18.3333
921,18.7500
922,22.8917
923,23.2833
924,28.5417
925,29.1333
926,38.4500
927,39.5250
928,47.1417
929,47.5333
930,48.7417
931,48.7333
932,45.7917
933,45.4250
934,44.5333
935,44.4250
936,48.0250
937,48.7583
938,57.0583
939,58.0667
940,64.6583
941,64.9250
942,61.2333
943,60.2167
944,52.1083
945,51.3417
946,44.3833
947,43.7750
948,34.6250
949,33.6917
950,25.2750
951,24.8000
952,19.7917
953,19.3583
954,16.1167
955,15.7917
956,13.6083
957,13.4417
958,11.6917
959,11.5917
960,11.2917
961,11.3417
962,11.2333
963,11.2417
964,11.8583
965,12.0083
966,14.0000
967,14.2250
968,17.6667
969,18.1417
970,22.6917
971,23.2583
972,30.0000
973,30.7667
974,41.7167
975,42.7000
976,49.4917
977,49.8167
978,49.4167
979,49.1500
980,44.3250
981,43.8250
982,41.4583
983,41.5917
984,48.3083
985,49.3583
986,56.0167
987,55.6083
988,42.5250
989,40.9250
990,29.0667
991,28.3083
992,23.0167
993,22.6333
994,19.2250
995,18.8500
996,15.7667
997,15.6083
998,12.7833
999,12.5833
1000,11.1000
1001,10.9667
1002,10.2250
1003,10.1167
1004,10.3333
1005,10.4667
1006,11.2167
1007,11.3167
1008,13.3583
1009,13.6833
1010,16.9833
1011,17.1167
1012,21.5333
1013,22.1000
1014,29.7833
1015,30.9833
1016,42.1500
1017,42.8167
1018,40.8750
1019,40.1917
1020,33.9500
1021,33.6500
1022,32.7917
1023,32.9083
1024,35.9000
1025,36.0250
1026,35.1917
1027,34.9833
1028,28.8000
1029,27.9917
1030,22.7583
1031,22.4000
1032,18.8333
1033,18.4833
1034,15.9083
1035,15.6667
1036,13.0000
1037,12.8667
1038,10.9083
1039,10.7500
1040,9.7750
1041,9.5833
1042,9.9083
1043,10.2167
1044,11.3083
1045,11.4000
1046,13.7833
1047,13.9917
1048,16.5667
1049,16.9167
1050,20.3583
1051,20.7833
1052,24.0333
1053,24.1750
1054,25.5000
1055,25.6333
1056,25.1583
1057,24.9917
1058,24.2333
1059,24.2667
1060,23.3833
1061,23.2083
1062,21.2833
1063,21.1000
1064,19.0250
1065,18.9667
1066,17.0417
1067,16.6917
1068,14.5333
1069,14.4000
1070,12.3167
1071,12.1583
1072,9.9250
1073,9.5500
1074,8.8083
1075,8.9917
1076,9.1833
1077,9.0750
1078,9.7833
1079,9.9083
1080,10.7417
1081,10.9833
1082,11.9167
1083,11.9500
1084,12.6833
1085,12.5917
1086,13.0583
1087,13.0500
1088,12.7917
1089,12.8250
1090,11.8167
1091,11.7417
1092,10.6333
1093,10.5333
1094,9.2500
1095,9.1333
1096,8.3083
1097,8.2083
1098,7.3750
1099,7.4000
1100,6.5750
1101,6.3417
