X,Y
0,9.9231
1,9.8462
2,9.8077
3,9.9231
4,9.7949
5,9.8846
6,10.2436
7,10.2821
8,10.1154
9,10.6667
10,10.7692
11,11.1667
12,11.0769
13,11.8462
14,12.0385
15,12.7564
16,12.7821
17,13.0513
18,12.9872
19,12.1795
20,12.1026
21,11.1410
22,11.1282
23,10.7692
24,10.8205
25,10.6667
26,10.4231
27,10.3718
28,10.3205
29,10.3974
30,10.4103
31,10.1667
32,10.0385
33,10.2821
34,10.3590
35,10.2436
36,10.8205
37,10.9744
38,10.3718
39,10.7564
40,10.9744
41,11.2051
42,11.3205
43,11.8974
44,11.6154
45,12.6282
46,12.6538
47,13.9359
48,14.2436
49,15.7564
50,15.6026
51,16.1795
52,16.3846
53,16.1026
54,16.1154
55,17.0641
56,17.3718
57,20.3718
58,20.6026
59,25.6538
60,26.2179
61,32.3205
62,32.4487
63,35.6410
64,36.3590
65,37.6026
66,37.6410
67,37.4231
68,36.6538
69,33.8846
70,33.7821
71,29.8462
72,29.6667
73,26.5385
74,26.1026
75,23.5128
76,23.4359
77,23.4487
78,23.5769
79,25.8590
80,26.2692
81,31.5256
82,32.0385
83,38.3333
84,38.9744
85,44.3333
86,44.6410
87,47.3718
88,47.7821
89,51.7051
90,51.7821
91,56.3718
92,57.0513
93,62.0513
94,62.5000
95,64.7692
96,65.0385
97,64.8718
98,64.4103
99,60.3205
100,59.8718
101,51.6923
102,50.5128
103,42.6410
104,41.8333
105,35.2436
106,34.7564
107,30.6410
108,30.6795
109,28.8205
110,28.7692
111,31.3590
112,31.4744
113,36.7051
114,37.5769
115,41.0897
116,41.2692
117,42.4103
118,42.1667
119,43.7179
120,44.0513
121,47.1282
122,47.6667
123,53.9231
124,54.4744
125,59.6026
126,60.2051
127,65.5256
128,65.9359
129,75.3974
130,77.2564
131,90.7308
132,91.3846
133,90.9744
134,89.8333
135,70.5385
136,68.4615
137,51.1282
138,49.5000
139,39.5000
140,38.6667
141,31.9872
142,31.6154
143,28.5000
144,28.1667
145,27.8333
146,27.8590
147,30.3590
148,30.9359
149,35.6667
150,36.0385
151,38.9487
152,39.0128
153,37.7051
154,37.4487
155,36.4744
156,36.4744
157,38.2051
158,38.7179
159,44.9487
160,45.6923
161,55.1923
162,56.1795
163,63.8590
164,64.4359
165,70.5641
166,71.4359
167,81.8205
168,83.0897
169,97.6026
170,100.3205
171,102.7051
172,102.0769
173,92.7051
174,88.8718
175,58.9744
176,56.7692
177,42.2051
178,41.2564
179,32.9487
180,32.0641
181,26.8205
182,26.5256
183,25.4487
184,25.4231
185,25.0128
186,25.0128
187,27.7179
188,27.9231
189,31.5128
190,32.1667
191,35.8590
192,35.7436
193,35.1923
194,35.3462
195,34.8333
196,34.4359
197,34.3462
198,34.8846
199,37.0000
200,37.0513
201,43.2179
202,44.1923
203,53.8333
204,55.2308
205,65.1795
206,65.6154
207,74.1795
208,75.0128
209,80.9359
210,81.8077
211,92.8590
212,94.1923
213,100.5513
214,101.7692
215,101.9744
216,102.4103
217,100.2821
218,96.9231
219,70.6282
220,68.5256
221,50.6282
222,48.9103
223,37.6795
224,36.5769
225,29.2308
226,28.9231
227,26.5385
228,26.4231
229,24.7692
230,24.6026
231,25.2436
232,25.4744
233,27.9103
234,28.1026
235,31.0641
236,31.5000
237,34.2692
238,34.3333
239,34.1923
240,34.1667
241,33.7308
242,33.6410
243,33.7051
244,33.6795
245,34.8718
246,35.0513
247,39.0513
248,39.6026
249,45.3846
250,46.1538
251,55.1795
252,56.2051
253,65.6026
254,66.7436
255,75.6923
256,76.2949
257,82.0513
258,82.6923
259,88.0256
260,88.7564
261,95.1795
262,95.7308
263,100.1795
264,101.4615
265,101.7949
266,102.9487
267,102.9615
268,100.8590
269,90.4359
270,87.8718
271,64.3462
272,61.9744
273,46.2308
274,45.1282
275,35.3974
276,34.6410
277,29.8846
278,29.5513
279,27.1667
280,26.7051
281,26.2821
282,26.4615
283,26.4744
284,26.6667
285,27.8462
286,27.9872
287,30.1923
288,30.3718
289,32.1154
290,32.3462
291,33.5385
292,33.4359
293,33.8590
294,33.8205
295,33.5256
296,33.6282
297,34.2179
298,34.3974
299,35.6282
300,35.6154
301,38.4231
302,39.0513
303,43.4744
304,44.1026
305,50.6282
306,51.1282
307,58.5513
308,59.6154
309,67.7949
310,68.3462
311,73.9103
312,74.2564
313,79.8718
314,80.1026
315,84.4487
316,85.2308
317,88.6923
318,89.5769
319,94.0385
320,94.4487
321,99.7949
322,101.2949
323,101.5385
324,102.6282
325,102.7949
326,103.0769
327,102.9487
328,100.9744
329,94.3333
330,91.8205
331,72.3590
332,70.2949
333,53.2308
334,51.9744
335,40.7179
336,39.7436
337,33.7051
338,33.1154
339,29.8462
340,29.5000
341,27.2692
342,27.3205
343,27.1154
344,27.1282
345,26.8590
346,26.7692
347,27.1667
348,27.1795
349,28.6282
350,28.8590
351,30.3718
352,30.3205
353,31.8590
354,32.1923
355,32.7179
356,32.6154
357,33.3846
358,33.4487
359,33.9615
360,34.1795
361,34.3590
362,34.4744
363,35.0385
364,34.9231
365,35.7692
366,35.6795
367,37.3590
368,37.6795
369,40.5897
370,41.1282
371,45.0128
372,45.4744
373,50.1282
374,50.4103
375,57.0256
376,57.7692
377,64.6538
378,65.4744
379,72.8718
380,73.3974
381,78.5513
382,78.9615
383,84.4231
384,84.9231
385,88.4872
386,88.7564
387,90.4615
388,90.8846
389,91.9615
390,92.1795
391,95.2436
392,95.4872
393,98.8077
394,99.1538
395,99.6154
396,100.0513
397,100.1923
398,101.6795
399,101.8462
400,102.6282
401,102.8333
402,103.0513
403,102.9103
404,102.0256
405,101.8205
406,100.5256
407,97.2436
408,95.5513
409,81.7179
410,79.8333
411,64.4615
412,63.0256
413,51.1410
414,50.0513
415,42.2564
416,41.4744
417,36.1026
418,35.8718
419,32.9103
420,32.4872
421,29.6667
422,29.6538
423,28.3590
424,28.2564
425,27.5128
426,27.3462
427,26.7949
428,26.6795
429,27.0897
430,27.2179
431,27.1667
432,27.1026
433,28.7308
434,28.8974
435,29.5128
436,29.6667
437,31.0769
438,31.1154
439,32.3846
440,32.4872
441,33.6154
442,33.7564
443,34.8974
444,35.0128
445,35.4231
446,35.3590
447,36.3333
448,36.4103
449,36.3974
450,36.3462
451,36.3846
452,36.4231
453,36.9872
454,37.0256
455,36.7436
456,37.1282
457,38.2692
458,38.0641
459,38.2308
460,38.2564
461,39.3462
462,39.3333
463,39.6667
464,39.8205
465,41.0128
466,41.1154
467,42.6410
468,42.8462
469,45.1667
470,45.3846
471,47.5769
472,47.8462
473,51.3846
474,51.8205
475,54.7821
476,55.1795
477,59.2051
478,59.6026
479,63.9487
480,64.5256
481,68.3590
482,68.7051
483,73.5513
484,73.5641
485,77.0769
486,77.6282
487,79.5641
488,79.8205
489,82.7949
490,83.2564
491,85.5897
492,85.5000
493,87.0385
494,87.4615
495,89.3077
496,89.4872
497,89.5000
498,89.6282
499,90.9615
500,90.6795
501,90.8333
502,90.8077
503,92.6538
504,92.8718
505,93.1538
506,93.5897
507,96.0513
508,95.8077
509,96.8205
510,97.3718
511,98.0385
512,98.1282
513,98.4872
514,98.5000
515,99.0256
516,99.2179
517,99.2308
518,99.7051
519,99.6667
520,99.8974
521,99.9487
522,100.1410
523,100.2179
524,100.4615
525,100.5256
526,100.9744
527,100.9872
528,101.6282
529,101.6923
530,102.2308
531,102.3077
532,102.2179
533,102.3718
534,103.1282
535,103.1282
536,102.9872
537,103.1026
538,103.5000
539,103.5897
540,103.7179
541,103.7308
542,104.0769
543,104.1154
544,104.3462
545,104.2692
546,103.6795
547,103.7821
548,103.5385
549,103.4103
550,103.7308
551,103.7821
552,103.4615
553,103.4359
554,103.2692
555,103.1795
556,102.9744
557,103.0256
558,102.8846
559,102.8205
560,102.6795
561,102.6538
562,102.1410
563,102.0769
564,102.1923
565,102.0513
566,101.3205
567,101.4231
568,101.2564
569,101.2308
570,100.8846
571,100.7436
572,100.2821
573,100.2051
574,100.4231
575,100.3077
576,100.0000
577,99.9231
578,99.5641
579,98.8077
580,98.9231
581,98.5897
582,98.0256
583,97.6154
584,97.3846
585,96.3974
586,96.3590
587,96.1795
588,96.1410
589,95.3333
590,95.5641
591,95.0128
592,94.7692
593,95.3846
594,95.1795
595,94.1154
596,94.2564
597,94.4103
598,94.3077
599,94.6410
600,94.7949
601,95.5385
602,95.8974
603,95.8462
604,95.4615
605,96.1026
606,96.1667
607,96.1667
608,96.6410
609,97.5641
610,97.7179
611,98.5513
612,98.4103
613,98.9744
614,99.1795
615,99.4359
616,99.8077
617,99.9487
618,100.2564
619,100.3846
620,100.6538
621,100.7179
622,101.2692
623,101.3205
624,101.1282
625,101.2564
626,101.6026
627,101.6154
628,101.4615
629,101.5128
630,102.0641
631,102.1667
632,102.8974
633,102.9615
634,102.7821
635,102.8718
636,103.0897
637,103.1282
638,103.2821
639,103.2692
640,103.4487
641,103.5385
642,103.8590
643,103.8077
644,104.5128
645,104.5385
646,104.2821
647,104.2821
648,103.8462
649,103.8462
650,104.0385
651,104.0385
652,103.8718
653,103.8462
654,103.3846
655,103.3333
656,103.0256
657,102.9615
658,102.7692
659,102.7949
660,102.9615
661,102.8462
662,101.9359
663,101.8462
664,101.5769
665,101.5000
666,101.2308
667,101.0385
668,100.6026
669,100.5513
670,100.0641
671,100.0000
672,99.8718
673,99.9103
674,99.6538
675,99.6538
676,99.3205
677,99.2564
678,99.0256
679,98.8974
680,98.6538
681,98.4872
682,98.7179
683,98.4615
684,98.2179
685,97.7692
686,97.8077
687,96.0513
688,95.8718
689,95.0256
690,94.9744
691,94.3846
692,94.1154
693,93.3590
694,93.3205
695,92.3846
696,92.3333
697,91.6154
698,91.6538
699,90.1923
700,90.0000
701,86.8462
702,86.4359
703,84.0000
704,83.6154
705,81.0513
706,80.5897
707,76.5641
708,76.4103
709,72.2692
710,71.6410
711,67.6026
712,67.5897
713,64.4487
714,63.8205
715,59.2949
716,58.8590
717,55.4615
718,55.1538
719,52.3718
720,52.0385
721,48.4872
722,48.1795
723,45.3974
724,45.0385
725,42.1282
726,42.2949
727,40.2821
728,39.7692
729,37.7179
730,37.4872
731,35.5897
732,35.5769
733,33.9872
734,33.7308
735,32.9231
736,32.8333
737,31.8077
738,31.6667
739,30.9615
740,30.7564
741,29.3590
742,29.3077
743,29.2692
744,29.3077
745,28.5513
746,28.3590
747,26.7051
748,26.3846
749,24.4231
750,24.3462
751,22.2179
752,22.1282
753,21.2179
754,21.1026
755,19.7949
756,19.6026
757,18.7179
758,18.7564
759,18.5128
760,18.5000
761,18.9615
762,18.8590
763,19.6410
764,19.5641
765,20.0513
766,20.2308
767,21.4103
768,21.4615
769,23.3333
770,23.8077
771,26.7179
772,26.7308
773,30.2821
774,31.1538
775,36.1410
776,36.7436
777,42.3462
778,42.6667
779,50.0128
780,51.0513
781,59.1026
782,60.0897
783,70.6282
784,71.8974
785,83.7308
786,84.9231
787,96.8846
788,98.8077
789,100.4231
790,101.1923
791,101.2564
792,101.0256
793,100.9615
794,100.6538
795,100.6538
796,100.5769
797,100.5000
798,99.8077
799,99.6538
800,99.2436
801,98.8974
802,98.2821
803,95.8974
804,95.9231
805,93.4103
806,93.2949
807,92.1667
808,91.5385
809,86.2949
810,86.1282
811,82.3846
812,81.7821
813,74.0128
814,73.0897
815,65.7692
816,64.9359
817,58.0513
818,57.6026
819,51.8333
820,51.2051
821,47.1538
822,46.7179
823,43.6410
824,43.4231
825,41.0641
826,41.0128
827,38.6410
828,38.0000
829,36.6282
830,36.6795
831,33.7949
832,33.5000
833,31.6026
834,31.4231
835,29.1410
836,28.9103
837,25.3718
838,25.0000
839,21.6923
840,21.6282
841,19.4744
842,19.0385
843,17.3077
844,17.2564
845,17.3590
846,17.4744
847,17.6538
848,17.6026
849,18.4872
850,18.7821
851,20.9231
852,21.2821
853,24.6410
854,24.9872
855,29.1154
856,29.4231
857,34.7821
858,35.3974
859,41.6667
860,42.3205
861,50.9487
862,52.1667
863,63.9615
864,65.5641
865,86.1282
866,88.1667
867,98.7436
868,99.7692
869,99.7308
870,99.2949
871,99.3077
872,99.0513
873,98.8974
874,98.8462
875,96.5128
876,96.1154
877,91.4487
878,90.9231
879,86.9359
880,86.1923
881,79.4231
882,79.1282
883,71.4615
884,70.0897
885,61.8462
886,61.3205
887,53.7179
888,53.0513
889,48.2564
890,47.8333
891,44.8333
892,44.4487
893,40.6154
894,40.0385
895,33.4872
896,33.0000
897,27.5769
898,27.0641
899,24.1154
900,23.5897
901,20.3590
902,20.2821
903,17.6026
904,17.4615
905,15.9487
906,15.7692
907,14.8333
908,14.7308
909,14.5769
910,14.6923
911,16.1154
912,16.2051
913,18.1154
914,18.4872
915,21.8077
916,22.1410
917,26.6923
918,27.1795
919,31.9615
920,32.3846
921,37.8846
922,38.6282
923,48.5000
924,49.6795
925,69.7564
926,72.7308
927,96.2949
928,98.3590
929,99.8718
930,99.7436
931,99.1795
932,98.0769
933,92.7692
934,92.1410
935,86.3333
936,85.8590
937,78.4359
938,77.5897
939,69.6667
940,69.1667
941,64.0256
942,63.3590
943,55.0385
944,53.7692
945,40.0897
946,38.5897
947,27.0256
948,26.4744
949,21.6795
950,21.2692
951,19.7564
952,19.6795
953,17.7692
954,17.6410
955,15.9487
956,15.5256
957,14.4359
958,14.5256
959,13.6538
960,13.4487
961,13.7564
962,14.0000
963,14.5000
964,14.5641
965,16.8590
966,17.1026
967,19.6282
968,19.8846
969,22.7821
970,23.0641
971,26.5256
972,26.9231
973,30.2179
974,30.7692
975,37.5385
976,38.4872
977,53.8846
978,56.2692
979,83.1538
980,85.5000
981,96.6026
982,96.2949
983,93.1026
984,92.7436
985,89.1282
986,88.5769
987,79.9103
988,78.7436
989,59.0897
990,56.5641
991,35.5769
992,34.1667
993,23.7564
994,22.9487
995,18.2692
996,18.1154
997,16.1410
998,16.0513
999,14.6923
1000,14.3846
1001,13.3846
1002,13.4231
1003,12.3846
1004,12.1410
1005,11.0385
1006,11.1538
1007,10.9872
1008,10.9359
1009,11.1410
1010,11.2949
1011,12.1538
1012,12.1282
1013,14.8590
1014,15.1538
1015,18.1667
1016,18.5769
1017,21.2308
1018,21.6026
1019,24.7179
1020,25.0128
1021,31.5897
1022,32.4359
1023,47.4872
1024,49.7821
1025,82.7949
1026,86.9103
1027,99.9359
1028,99.5385
1029,84.7436
1030,81.7949
1031,57.4872
1032,55.3077
1033,38.5256
1034,37.1923
1035,26.6282
1036,25.7564
1037,19.1538
1038,18.5385
1039,14.8590
1040,14.7821
1041,13.2179
1042,13.0128
1043,12.5641
1044,12.4744
1045,11.9231
1046,11.7692
1047,10.9487
1048,10.9231
1049,10.3974
1050,10.3462
1051,10.7692
1052,10.9231
1053,12.3333
1054,12.4744
1055,15.0256
1056,15.4487
1057,18.5128
1058,18.6154
1059,21.7308
1060,22.1154
1061,27.4744
1062,28.1026
1063,36.2051
1064,37.4744
1065,56.3846
1066,58.7051
1067,75.9231
1068,76.3846
1069,63.5897
1070,61.4231
1071,45.2821
1072,43.9359
1073,32.3718
1074,31.5385
1075,22.6026
1076,21.8718
1077,15.7308
1078,15.4103
1079,12.7564
1080,12.6282
1081,11.8846
1082,11.7308
1083,10.9103
1084,10.8333
1085,9.8590
1086,9.7308
1087,9.6795
1088,9.8333
1089,10.3974
1090,10.5385
1091,11.7564
1092,11.8462
1093,13.9359
1094,14.1282
1095,16.8974
1096,17.2051
1097,20.6154
1098,21.1154
1099,26.9744
1100,27.5385
1101,33.1154
1102,33.6667
1103,38.6667
1104,39.0641
1105,38.6410
1106,38.4744
1107,33.3333
1108,32.5256
1109,25.3205
1110,24.4872
1111,17.6923
1112,17.2436
1113,12.8205
1114,12.3846
1115,10.9359
1116,10.8333
1117,9.9103
1118,9.7564
1119,9.0128
1120,9.1026
1121,8.6795
1122,8.5000
1123,8.9744
1124,9.0897
1125,9.6795
1126,9.8846
1127,10.8718
1128,11.0000
1129,11.9615
1130,11.8205
1131,13.5385
1132,14.0897
1133,16.1923
1134,16.2564
1135,17.6026
1136,17.5385
1137,17.5000
1138,17.5128
1139,16.1026
1140,15.7949
1141,13.5385
1142,13.4359
1143,10.2051
1144,9.7308
1145,8.1795
1146,8.2051
1147,7.2564
1148,7.1026
1149,6.7564
1150,6.7564
