X,Y
0,12.1579
1,12.4327
2,12.2222
3,12.2632
4,12.0585
5,12.5088
6,12.8012
7,12.8830
8,12.8304
9,12.9298
10,12.8129
11,13.0117
12,13.2632
13,13.2515
14,13.3392
15,13.4444
16,13.3450
17,12.9825
18,12.9883
19,12.6784
20,12.5965
21,12.2515
22,12.0117
23,11.8246
24,11.9064
25,11.8070
26,11.6842
27,11.5614
28,11.7602
29,11.8363
30,11.8070
31,11.8596
32,11.7719
33,11.5965
34,11.5906
35,11.7953
36,11.7544
37,11.8596
38,11.8246
39,11.9883
40,12.2339
41,12.4386
42,12.2456
43,12.6316
44,12.8363
45,13.0175
46,13.0585
47,13.2339
48,12.9591
49,13.2982
50,13.4211
51,13.5088
52,13.3567
53,13.1988
54,13.4152
55,13.0468
56,12.9532
57,12.7661
58,12.6257
59,12.2222
60,12.0936
61,12.0117
62,12.0234
63,11.6608
64,11.8713
65,11.7661
66,11.6491
67,11.5029
68,11.2749
69,11.2982
70,11.4152
71,11.4971
72,11.5906
73,11.6023
74,11.7719
75,11.9181
76,11.6550
77,11.6959
78,11.8304
79,12.0994
80,12.1637
81,12.3216
82,12.2398
83,12.6901
84,12.7661
85,13.3626
86,13.2105
87,13.3509
88,13.3860
89,13.8772
90,14.0175
91,13.9474
92,13.8304
93,13.7193
94,13.7368
95,13.8304
96,13.9006
97,13.4444
98,13.3216
99,12.9357
100,12.8129
101,12.4620
102,12.5029
103,12.3099
104,12.2690
105,12.0292
106,12.0819
107,12.2632
108,12.2632
109,12.4269
110,12.5439
111,12.4620
112,12.2632
113,12.2222
114,12.4327
115,12.5439
116,12.5029
117,12.6082
118,12.5322
119,12.9123
120,13.1111
121,13.1345
122,12.8889
123,13.5965
124,13.8596
125,14.0175
126,14.0936
127,14.8480
128,14.7485
129,15.5848
130,15.3860
131,15.7602
132,15.8246
133,16.0409
134,16.1404
135,16.5205
136,16.5614
137,16.5789
138,16.8830
139,17.2807
140,17.0409
141,18.1520
142,18.6842
143,20.2632
144,20.1170
145,22.2164
146,22.2456
147,25.8246
148,26.3099
149,31.5322
150,31.9942
151,38.6667
152,39.5614
153,46.3509
154,47.1170
155,52.7953
156,53.2164
157,57.0175
158,57.3743
159,59.7251
160,59.6842
161,61.0351
162,61.3158
163,60.0117
164,59.4386
165,55.4912
166,55.0819
167,48.0936
168,47.3041
169,40.3392
170,39.6023
171,33.6784
172,33.5088
173,30.4854
174,29.8772
175,29.0000
176,29.2573
177,30.1871
178,30.1345
179,31.9708
180,32.1871
181,34.2456
182,34.4094
183,36.6608
184,36.9591
185,39.3099
186,39.6082
187,43.1520
188,43.4211
189,47.9181
190,48.5673
191,55.7778
192,56.6667
193,67.0409
194,68.0702
195,79.1871
196,80.5906
197,89.2222
198,89.2047
199,91.1462
200,91.1111
201,88.6316
202,88.3684
203,84.8246
204,84.6199
205,81.1637
206,80.7953
207,76.9708
208,76.0819
209,66.4327
210,65.6199
211,52.4035
212,51.0936
213,40.3392
214,39.5088
215,33.9766
216,33.7135
217,31.6608
218,31.4561
219,31.5439
220,31.7076
221,31.9942
222,32.0000
223,33.2515
224,33.0936
225,34.2164
226,34.5497
227,35.7018
228,35.8187
229,37.4795
230,37.5965
231,41.2690
232,41.9532
233,46.1520
234,46.4327
235,51.8947
236,52.2515
237,58.9240
238,59.7778
239,68.4035
240,69.5029
241,79.1053
242,80.0760
243,90.3392
244,91.5088
245,98.2924
246,98.6316
247,98.1754
248,98.0000
249,93.6140
250,92.8012
251,85.3743
252,84.4094
253,78.4795
254,78.3216
255,73.5322
256,72.8070
257,68.9123
258,68.5380
259,61.3275
260,60.5497
261,52.4327
262,51.3743
263,41.9123
264,41.0351
265,36.3450
266,36.3041
267,34.0994
268,33.7251
269,32.3158
270,32.0702
271,31.5263
272,31.6784
273,32.1345
274,32.2807
275,33.5789
276,33.8480
277,34.6491
278,34.5906
279,37.1053
280,37.3450
281,39.4269
282,39.5965
283,41.8246
284,42.0760
285,45.5380
286,45.8655
287,50.1111
288,50.7719
289,56.6725
290,57.1287
291,64.0819
292,64.9591
293,70.9298
294,71.7076
295,79.3158
296,79.8070
297,87.6316
298,88.5263
299,95.6082
300,96.1053
301,99.5731
302,99.6725
303,97.7836
304,97.5906
305,91.4327
306,90.2632
307,84.8596
308,84.6140
309,79.3801
310,78.8480
311,75.3918
312,75.2573
313,72.7836
314,72.5263
315,69.7193
316,69.1345
317,64.0994
318,63.2339
319,56.3333
320,55.7193
321,46.5731
322,45.7485
323,39.7368
324,39.3801
325,36.4737
326,36.0468
327,34.4211
328,34.3450
329,32.6725
330,32.4912
331,32.5731
332,32.6725
333,33.7368
334,33.8246
335,34.3977
336,34.3099
337,35.7719
338,36.1111
339,37.0292
340,37.0175
341,38.6667
342,39.2222
343,41.3801
344,41.5088
345,44.1579
346,44.4386
347,48.4795
348,48.7018
349,52.9415
350,53.5906
351,58.3684
352,58.9532
353,65.3860
354,66.2398
355,72.2456
356,72.7544
357,79.5029
358,79.8772
359,85.3509
360,85.8596
361,91.8363
362,92.3450
363,97.2398
364,97.8304
365,99.7778
366,100.1696
367,100.4152
368,100.0000
369,97.2047
370,96.9006
371,89.9532
372,88.8596
373,83.5614
374,83.1111
375,77.7368
376,77.4561
377,75.5322
378,75.4269
379,73.9298
380,73.5439
381,70.0877
382,69.7661
383,67.7427
384,67.4795
385,63.8070
386,63.4386
387,56.5848
388,55.6608
389,48.3450
390,47.4971
391,41.6784
392,41.5322
393,38.0936
394,37.5205
395,35.2515
396,35.0585
397,33.8480
398,33.7719
399,33.4269
400,33.2281
401,33.4327
402,33.7895
403,34.4503
404,34.5497
405,35.3860
406,35.2164
407,35.9591
408,36.1813
409,37.3860
410,37.4971
411,39.4094
412,39.7661
413,41.2807
414,41.3099
415,43.3801
416,43.6374
417,45.7602
418,45.8304
419,48.8889
420,49.3567
421,53.2573
422,53.6140
423,57.5731
424,58.0760
425,62.6725
426,63.1754
427,67.8713
428,68.1754
429,72.3275
430,72.8772
431,77.1871
432,77.7310
433,82.4327
434,82.5263
435,86.4035
436,87.0819
437,90.5556
438,90.9064
439,94.8246
440,94.8421
441,97.9240
442,98.6257
443,99.6550
444,99.5439
445,99.7018
446,99.5088
447,97.7778
448,97.7193
449,93.1520
450,92.4737
451,88.4211
452,87.9825
453,83.6491
454,83.1228
455,80.6667
456,80.6550
457,78.7778
458,78.5614
459,76.8596
460,76.4620
461,73.9591
462,73.6842
463,71.5965
464,71.6959
465,71.0234
466,70.7836
467,69.0526
468,68.7485
469,65.7251
470,65.5322
471,61.5088
472,60.7135
473,55.6023
474,55.4094
475,50.3801
476,49.7719
477,44.9649
478,44.6550
479,41.4854
480,41.2398
481,39.3275
482,39.0409
483,37.6316
484,37.5731
485,36.7895
486,36.6140
487,36.0760
488,35.7895
489,34.9649
490,35.3392
491,35.1228
492,35.0994
493,35.4269
494,35.2398
495,35.5673
496,35.5556
497,35.9532
498,36.1287
499,36.8187
500,36.8655
501,38.1170
502,38.1287
503,38.6082
504,38.7778
505,39.7836
506,39.7895
507,41.0058
508,41.2749
509,42.8363
510,42.7251
511,43.9415
512,44.3860
513,46.2632
514,46.3684
515,48.0000
516,48.3918
517,50.7135
518,50.4211
519,52.3509
520,52.7135
521,54.8363
522,55.4035
523,57.8012
524,57.5789
525,59.8012
526,60.4152
527,62.8480
528,62.9591
529,65.4737
530,65.8129
531,68.7134
532,69.0058
533,72.2222
534,72.2339
535,74.4620
536,74.9357
537,76.9825
538,77.1404
539,78.5088
540,78.7602
541,82.5556
542,82.8421
543,84.5614
544,84.6433
545,87.2749
546,87.6082
547,88.8421
548,88.5731
549,91.1754
550,91.8070
551,92.8947
552,92.8538
553,94.4269
554,94.4912
555,95.8480
556,96.1287
557,97.2047
558,97.0175
559,97.3743
560,98.0819
561,97.1696
562,96.7134
563,96.8830
564,96.8246
565,95.7661
566,95.6082
567,94.1871
568,94.0175
569,91.1520
570,90.5614
571,88.9825
572,89.2281
573,86.4620
574,85.8129
575,83.8363
576,83.8070
577,81.9708
578,81.7953
579,80.6374
580,80.4971
581,79.7251
582,79.6316
583,77.6608
584,77.5848
585,75.5789
586,75.2222
587,73.7778
588,73.5497
589,72.2281
590,71.8713
591,71.2339
592,71.6082
593,70.4561
594,70.4620
595,69.7134
596,69.4327
597,69.4444
598,69.3158
599,68.1637
600,68.2690
601,67.4854
602,67.2105
603,66.5380
604,66.5906
605,65.6257
606,65.4444
607,65.1462
608,65.0760
609,64.1345
610,63.8421
611,63.1170
612,63.2573
613,62.7719
614,62.5906
615,61.0117
616,60.9766
617,60.2047
618,60.2105
619,59.4561
620,59.0468
621,57.9474
622,57.9415
623,56.1287
624,55.8246
625,53.7193
626,53.6550
627,52.9942
628,52.8480
629,50.9357
630,50.8889
631,50.0526
632,49.7836
633,47.8012
634,47.5146
635,46.7193
636,46.8246
637,45.2339
638,45.2164
639,44.4269
640,43.9474
641,42.1637
642,42.1287
643,41.6433
644,41.6725
645,40.6199
646,40.4035
647,39.4854
648,39.4444
649,38.5848
650,38.4327
651,37.4678
652,37.4503
653,37.4737
654,37.5088
655,36.6608
656,36.3977
657,35.9883
658,36.0058
659,35.4035
660,35.2690
661,35.0058
662,35.0000
663,34.8889
664,34.9591
665,34.1637
666,34.0292
667,33.8772
668,33.8655
669,33.6959
670,33.6023
671,33.5673
672,33.7661
673,33.0058
674,32.6316
675,32.2632
676,32.2222
677,32.3099
678,32.5556
679,32.3977
680,32.2632
681,32.0760
682,32.1813
683,31.7895
684,31.4737
685,31.7134
686,31.7544
687,31.2047
688,31.4327
689,31.7544
690,31.4912
691,31.3626
692,31.5556
693,31.3392
694,31.0936
695,30.9181
696,30.8480
697,30.8655
698,30.9415
699,30.5146
700,30.4503
701,30.8421
702,31.0994
703,30.5731
704,30.4211
705,30.5965
706,30.5731
707,30.7251
708,30.6433
709,30.6667
710,30.7895
711,30.7368
712,30.8304
713,31.3509
714,31.1637
715,30.8187
716,30.7544
717,30.9474
718,31.1287
719,30.9825
720,30.9415
721,31.1754
722,31.0351
723,31.4737
724,31.4678
725,31.6316
726,31.8012
727,31.5088
728,31.6082
729,31.7544
730,31.3918
731,31.9415
732,32.1754
733,32.0585
734,32.1930
735,32.3977
736,32.2982
737,32.8187
738,32.9415
739,33.6608
740,33.6257
741,33.5789
742,33.6901
743,34.6725
744,34.5556
745,34.7310
746,34.9474
747,35.9942
748,35.9532
749,35.9649
750,36.0234
751,36.8889
752,36.9181
753,38.1696
754,38.5731
755,39.3275
756,39.3509
757,40.7602
758,40.8538
759,41.4971
760,41.5029
761,43.0468
762,43.1988
763,44.2105
764,44.4444
765,45.8596
766,45.9532
767,47.5906
768,47.5263
769,48.8187
770,49.1345
771,50.1813
772,50.2924
773,51.9649
774,51.8304
775,52.7895
776,53.1287
777,54.3392
778,54.4444
779,56.5088
780,56.6959
781,56.8830
782,56.7076
783,57.8129
784,57.8889
785,58.9649
786,59.1111
787,60.0351
788,60.1579
789,60.3450
790,60.2924
791,60.0409
792,60.1930
793,61.3801
794,61.5965
795,62.0585
796,62.0351
797,62.8947
798,63.0643
799,63.2222
800,63.0117
801,64.3392
802,64.6667
803,64.4795
804,64.2281
805,65.1053
806,65.4094
807,66.8187
808,66.8596
809,66.9825
810,67.0936
811,68.1053
812,67.8480
813,68.9766
814,69.2164
815,70.3567
816,70.6725
817,71.3684
818,71.5029
819,73.2222
820,73.1813
821,74.0117
822,74.3801
823,75.2339
824,75.2982
825,77.5731
826,77.7018
827,79.8070
828,80.1754
829,81.6199
830,81.5556
831,84.0819
832,84.3216
833,84.3450
834,84.5731
835,85.2982
836,85.0526
837,85.2807
838,85.3099
839,84.3743
840,84.4503
841,83.0175
842,82.3801
843,80.9064
844,80.9181
845,78.8713
846,78.9357
847,76.6842
848,76.4737
