X,Y
0,32.627
1,32.676
2,32.892
3,32.569
4,32.059
5,32.363
6,32.627
7,32.608
8,32.441
9,32.265
10,32.392
11,32.510
12,32.176
13,32.363
14,32.480
15,32.294
16,32.569
17,32.520
18,31.980
19,31.961
20,32.304
21,32.314
22,31.882
23,31.686
24,31.912
25,31.931
26,32.206
27,32.745
28,32.745
29,32.529
30,32.833
31,33.245
32,33.029
33,33.000
34,33.255
35,33.441
36,33.196
37,33.010
38,33.176
39,33.402
40,32.971
41,32.784
42,33.020
43,32.922
44,33.196
45,33.108
46,32.784
47,32.765
48,32.794
49,32.324
50,31.853
51,32.000
52,32.059
53,31.980
54,31.873
55,31.833
56,31.804
57,31.931
58,31.922
59,31.784
60,31.912
61,31.892
62,31.980
63,31.971
64,32.069
65,32.167
66,32.157
67,32.422
68,32.510
69,32.412
70,32.863
71,33.324
72,33.490
73,33.804
74,34.108
75,34.716
76,34.794
77,34.569
78,34.980
79,35.186
80,35.078
81,35.490
82,36.000
83,36.882
84,38.412
85,41.127
86,44.304
87,48.196
88,50.539
89,52.020
90,51.255
91,48.775
92,46.588
93,43.843
94,41.647
95,39.353
96,37.451
97,36.216
98,35.578
99,34.520
100,33.961
101,33.549
102,33.363
103,33.088
104,32.980
105,32.882
106,33.363
107,33.892
108,33.804
109,33.804
110,34.294
111,34.843
112,35.039
113,36.157
114,37.382
115,38.578
116,39.725
117,41.902
118,44.108
119,46.598
120,48.667
121,51.549
122,54.863
123,60.304
124,66.167
125,74.412
126,82.971
127,94.490
128,102.657
129,105.873
130,101.784
131,90.186
132,79.255
133,67.647
134,59.029
135,51.245
136,46.657
137,42.049
138,39.167
139,37.186
140,36.314
141,35.549
142,34.647
143,33.922
144,33.471
145,33.382
146,33.725
147,33.578
148,33.735
149,33.990
150,33.833
151,34.284
152,34.412
153,34.510
154,35.069
155,36.029
156,37.245
157,38.461
158,40.167
159,42.137
160,43.284
161,45.402
162,47.775
163,50.863
164,53.814
165,57.961
166,61.804
167,66.745
168,72.235
169,81.765
170,92.118
171,106.059
172,117.490
173,127.853
174,132.049
175,132.098
176,120.294
177,89.882
178,68.804
179,57.922
180,52.353
181,45.833
182,42.000
183,38.735
184,36.735
185,35.755
186,34.980
187,34.382
188,34.020
189,33.716
190,33.559
191,33.363
192,33.206
193,33.167
194,33.549
195,33.422
196,33.363
197,33.549
198,33.353
199,33.471
200,34.010
201,34.588
202,34.892
203,35.363
204,35.951
205,37.441
206,38.775
207,40.598
208,42.637
209,44.225
210,45.343
211,46.775
212,47.863
213,50.637
214,53.990
215,58.765
216,63.392
217,69.961
218,76.206
219,82.833
220,88.804
221,97.059
222,104.667
223,113.343
224,119.961
225,127.941
226,132.059
227,135.392
228,135.882
229,117.461
230,86.833
231,60.216
232,53.235
233,49.559
234,45.480
235,40.745
236,38.186
237,36.412
238,35.637
239,35.265
240,35.020
241,34.539
242,34.431
243,34.157
244,33.971
245,33.676
246,33.627
247,33.647
248,33.196
249,33.000
250,33.667
251,33.725
252,33.324
253,33.451
254,34.069
255,34.627
256,34.686
257,35.020
258,35.235
259,36.304
260,37.392
261,38.176
262,39.020
263,40.235
264,41.539
265,43.225
266,44.176
267,45.343
268,46.559
269,47.882
270,49.294
271,51.598
272,53.637
273,57.245
274,61.206
275,67.196
276,73.451
277,80.245
278,84.912
279,89.892
280,93.657
281,98.373
282,103.725
283,111.176
284,117.029
285,123.471
286,127.647
287,131.196
288,133.471
289,139.412
290,138.373
291,109.422
292,78.235
293,59.275
294,54.324
295,52.216
296,48.804
297,43.373
298,41.314
299,39.431
300,37.314
301,36.500
302,36.520
303,35.941
304,35.510
305,35.167
306,34.892
307,34.471
308,33.971
309,33.745
310,33.725
311,33.667
312,33.775
313,33.824
314,33.794
315,33.863
316,33.990
317,34.127
318,34.235
319,34.637
