X,Y
0,36.784
1,36.353
2,36.412
3,36.343
4,36.412
5,36.578
6,36.647
7,36.853
8,37.304
9,37.167
10,36.569
11,36.608
12,36.922
13,36.951
14,36.549
15,36.539
16,36.765
17,36.549
18,36.569
19,36.892
20,36.559
21,36.284
22,36.853
23,37.392
24,36.725
25,36.324
26,36.735
27,37.039
28,36.971
29,37.157
30,37.490
31,37.696
32,37.422
33,37.284
34,37.412
35,37.392
36,37.333
37,37.284
38,37.255
39,37.108
40,37.108
41,36.980
42,37.020
43,36.971
44,36.784
45,36.765
46,36.598
47,36.755
48,36.922
49,36.706
50,36.441
51,36.275
52,36.333
53,36.284
54,35.814
55,36.078
56,36.588
57,36.569
58,36.422
59,36.206
60,36.402
61,36.490
62,36.471
63,36.500
64,36.216
65,36.412
66,37.186
67,37.206
68,37.108
69,37.588
70,38.039
71,38.265
72,38.304
73,38.245
74,38.196
75,38.324
76,38.578
77,38.863
78,38.431
79,38.578
80,39.157
81,40.049
82,41.186
83,43.147
84,44.922
85,46.951
86,48.843
87,50.451
88,50.667
89,49.618
90,48.088
91,46.020
92,44.167
93,42.235
94,41.039
95,39.990
96,39.363
97,39.010
98,38.686
99,38.353
100,37.588
101,37.441
102,37.961
103,37.902
104,37.902
105,37.971
106,37.961
107,38.020
108,38.637
109,39.382
110,39.873
111,40.549
112,41.324
113,42.931
114,44.706
115,46.471
116,48.402
117,51.314
118,53.127
119,55.775
120,58.314
121,61.824
122,65.931
123,72.373
124,79.186
125,88.196
126,95.431
127,101.402
128,100.931
129,93.088
130,83.971
131,71.804
132,62.304
133,53.588
134,48.961
135,45.422
136,42.451
137,40.765
138,40.422
139,39.510
140,38.931
141,38.206
142,37.422
143,37.765
144,38.343
145,38.010
146,37.725
147,38.069
148,38.039
149,38.098
150,38.059
151,38.824
152,40.196
153,41.167
154,42.059
155,43.735
156,45.324
157,47.206
158,49.588
159,52.559
160,54.755
161,56.912
162,58.745
163,60.941
164,63.108
165,66.892
166,71.480
