X	Y
0	36.951
1	36.598
2	36.382
3	36.343
4	36.157
5	36.216
6	36.382
7	36.088
8	35.824
9	35.912
10	36.324
11	36.618
12	36.480
13	36.510
14	36.549
15	36.637
16	36.402
17	36.265
18	36.598
19	36.647
20	36.882
21	36.873
22	36.627
23	36.735
24	36.961
25	36.745
26	36.990
27	37.431
28	37.069
29	37.569
30	38.353
31	38.618
32	38.569
33	38.167
34	37.980
35	37.657
36	37.333
37	37.412
38	37.451
39	37.441
40	37.353
41	37.284
42	36.912
43	36.696
44	37.010
45	36.794
46	36.559
47	36.588
48	36.520
49	36.216
50	36.049
51	36.039
52	36.186
53	36.510
54	36.284
55	36.324
56	36.353
57	36.373
58	36.343
59	36.294
60	36.657
61	36.853
62	36.343
63	36.500
64	37.225
65	37.186
66	37.608
67	38.176
68	38.196
69	38.716
70	39.137
71	39.480
72	39.804
73	40.049
74	39.990
75	40.029
76	40.059
77	40.343
78	40.676
79	42.078
80	43.510
81	45.294
82	47.461
83	49.265
84	51.402
85	53.618
86	54.431
87	56.186
88	57.529
89	57.873
90	56.843
91	54.539
92	52.461
93	49.422
94	46.863
95	44.500
96	42.745
97	41.608
98	41.304
99	40.196
100	39.382
101	39.216
102	39.088
103	39.059
104	39.049
105	39.343
106	39.657
107	40.167
108	41.206
109	43.020
110	44.284
111	45.824
112	48.069
113	51.206
114	53.588
115	56.725
116	60.392
117	65.490
118	70.873
119	78.824
120	86.441
121	96.314
122	104.725
123	113.980
124	119.657
125	123.657
126	125.794
127	128.784
128	131.422
129	130.608
130	123.657
131	107.196
132	91.490
133	74.235
134	62.441
135	53.951
136	49.804
137	45.784
138	43.275
139	41.775
140	40.912
141	40.431
142	39.618
143	39.304
144	39.578
145	39.588
146	40.059
147	40.676
148	40.735
149	41.696
150	43.284
151	44.657
152	45.951
153	47.490
154	49.078
155	52.167
156	55.304
157	59.412
158	63.833
159	68.951
160	73.480
161	80.108
162	85.686
163	94.461
164	103.353
165	115.324
166	125.951
167	135.020
168	137.461
169	139.539
170	139.814
171	137.382
172	136.010
173	137.833
174	138.931
175	137.029
176	126.814
177	97.951
178	75.255
179	60.441
180	54.255
181	49.412
182	46.078
183	43.255
184	41.971
185	41.049
186	40.755
187	40.324
188	39.520
189	39.373
190	39.216
191	39.304
192	39.431
193	39.804
194	40.451
195	41.088
196	41.853
197	42.578
198	43.176
199	44.392
200	45.902
201	47.402
202	48.912
203	51.245
204	53.167
205	55.843
206	58.990
207	63.578
208	68.608
209	74.461
210	78.902
211	84.667
212	89.794
213	97.157
214	105.039
215	115.402
216	125.343
217	134.451
218	136.618
219	141.069
220	143.118
221	144.804
222	143.716
223	137.265
224	135.431
225	136.882
226	137.814
227	139.775
228	138.284
229	116.441
230	90.343
231	68.539
232	58.667
233	53.147
234	49.569
235	45.941
236	44.716
237	42.833
238	41.765
239	40.941
240	39.853
241	39.520
242	39.696
243	39.951
244	39.902
245	40.039
246	40.265
247	40.284
248	40.980
249	41.520
250	41.657
251	42.431
252	43.049
253	44.157
254	45.314
255	46.676
256	47.686
257	48.912
258	50.147
259	51.647
260	53.363
261	55.382
262	57.206
263	60.216
264	63.412
265	67.951
266	71.980
267	76.569
268	79.873
269	84.961
270	90.186
271	96.324
272	101.755
273	108.402
274	115.422
275	126.235
276	132.843
277	137.725
278	139.784
279	143.647
280	145.794
281	148.225
282	147.471
283	141.569
284	138.745
285	137.078
286	138.010
287	140.500
288	141.255
289	139.882
290	133.490
291	108.980
292	85.951
293	68.627
294	59.765
295	54.912
296	52.569
297	49.049
298	47.000
299	45.088
300	43.804
301	42.667
302	41.608
303	40.941
304	40.922
305	40.980
306	40.873
307	40.892
308	40.775
309	41.059
310	41.167
311	41.353
312	41.657
313	42.186
314	42.971
315	43.422
316	44.412
317	45.569
318	46.618
319	47.176
320	47.451
321	48.667
322	48.990
323	49.784
324	50.667
325	51.441
326	51.951
327	52.882
328	54.186
329	56.147
330	57.392
331	59.657
332	62.284
333	64.824
334	67.490
335	71.216
336	74.255
337	77.520
338	81.284
339	86.314
340	90.490
341	95.931
342	100.863
343	106.422
344	111.471
345	118.098
346	125.137
347	132.824
348	135.412
349	138.941
350	140.824
351	144.216
352	145.127
353	147.892
354	149.627
355	150.941
356	149.461
357	143.794
358	141.902
359	140.137
