X,Y
0,6.157
1,6.176
2,6.314
3,6.373
4,6.373
5,6.402
6,6.431
7,6.382
8,6.520
9,6.618
10,6.578
11,6.676
12,6.716
13,6.804
14,6.804
15,6.902
16,7.088
17,7.186
18,7.157
19,7.216
20,7.363
21,7.392
22,7.284
23,7.294
24,7.441
25,7.461
26,7.206
27,6.980
28,6.882
29,6.676
30,6.559
31,6.529
32,6.529
33,6.520
34,6.510
35,6.598
36,6.569
37,6.500
38,6.363
39,6.245
40,6.304
41,6.392
42,6.235
43,6.235
44,6.324
45,6.353
46,6.382
47,6.451
48,6.588
49,6.706
50,6.647
51,6.873
52,7.069
53,7.108
54,7.147
55,7.167
56,7.520
57,7.745
58,7.647
59,7.833
60,8.137
61,8.176
62,8.206
63,8.373
64,8.314
65,8.304
66,8.245
67,8.216
68,8.167
69,8.186
70,8.294
71,8.480
72,8.775
73,8.971
74,9.225
75,9.647
76,9.824
77,10.461
78,11.029
79,11.725
80,12.275
81,12.716
82,12.951
83,12.804
84,12.265
85,11.608
86,11.069
87,10.520
88,10.314
89,9.863
90,9.451
91,9.353
92,9.314
93,9.255
94,9.451
95,9.814
96,10.098
97,10.755
98,11.324
99,12.431
100,13.882
101,15.598
102,16.941
103,18.922
104,20.794
105,22.725
106,24.471
107,27.069
108,29.608
109,33.686
110,37.500
111,41.882
112,46.500
113,51.304
114,54.275
115,56.559
116,57.225
117,56.676
118,55.814
119,56.402
120,57.059
121,56.569
122,54.951
123,50.373
124,44.882
125,37.471
126,31.010
127,24.275
128,20.196
129,16.608
130,14.245
131,12.824
132,12.176
133,11.863
134,11.980
135,12.304
136,12.863
137,13.902
138,14.922
139,16.500
140,17.824
141,19.363
142,21.049
143,23.422
144,25.010
145,26.922
146,28.833
147,30.696
148,32.176
149,34.755
150,37.500
151,41.627
152,46.098
153,52.902
154,60.873
155,72.127
156,82.833
157,93.373
158,95.127
159,85.706
160,73.647
161,64.422
162,63.549
163,69.020
164,75.873
165,81.108
166,77.676
167,65.510
168,54.108
169,42.235
170,34.010
171,26.314
172,21.265
173,17.078
174,14.922
175,13.157
176,11.990
177,11.373
178,11.167
179,11.284
180,11.696
181,12.461
182,12.902
183,13.725
184,14.696
185,15.549
186,16.471
187,18.000
188,19.216
189,20.529
190,21.853
191,23.588
192,24.971
193,26.833
194,28.676
195,30.775
196,32.480
197,35.049
198,37.451
199,40.265
200,43.549
201,48.804
202,54.706
203,63.863
204,73.784
205,88.225
206,100.980
207,111.853
208,112.176
209,96.147
210,76.069
211,63.304
212,62.784
213,66.559
214,72.216
215,81.990
216,89.412
217,85.775
218,71.755
219,55.608
220,44.431
221,33.824
222,27.912
223,22.196
224,18.098
225,14.794
226,13.882
227,13.157
228,12.108
229,11.529
230,11.353
231,11.314
232,11.647
233,11.931
234,12.353
235,12.971
236,13.588
237,14.294
238,14.784
239,15.598
240,16.039
241,16.971
242,18.294
243,19.206
244,19.745
245,20.833
246,22.186
247,24.157
248,25.873
249,27.765
250,29.588
251,31.912
252,33.794
253,36.098
254,38.108
255,41.010
256,43.676
257,47.824
258,53.029
259,60.784
260,68.882
261,81.216
262,93.069
263,106.510
264,114.000
265,117.608
266,117.520
267,107.431
268,89.049
269,71.078
270,67.176
271,67.637
272,69.176
273,74.931
274,83.020
275,94.206
276,99.000
277,87.314
278,70.196
279,56.510
280,46.108
281,35.167
282,30.284
283,25.412
284,21.755
285,18.010
286,15.431
287,14.402
288,14.078
289,13.294
290,12.657
291,12.088
292,11.873
293,11.902
294,12.157
295,12.441
296,12.539
297,12.794
298,13.412
299,13.951
300,14.284
301,14.863
302,15.088
303,15.578
304,16.324
305,17.431
306,18.186
307,18.892
308,19.569
309,20.814
310,21.971
311,23.490
312,25.029
313,26.922
314,28.392
315,29.892
316,31.206
317,33.069
318,34.892
319,37.441
320,39.029
321,41.235
322,43.696
323,47.157
324,50.745
325,55.980
326,61.529
327,68.647
328,75.794
329,86.088
330,94.245
331,103.735
332,111.363
333,116.755
334,117.422
335,117.225
336,115.686
337,103.608
338,86.902
339,71.990
340,67.373
341,66.912
342,67.755
343,69.745
344,72.931
345,78.863
346,86.078
347,96.873
348,103.480
349,98.069
350,84.118
351,69.431
352,60.980
353,50.206
354,40.686
355,33.951
356,30.794
357,26.353
358,23.353
359,20.510
360,17.951
361,15.716
362,14.853
363,14.598
364,14.569
365,13.971
366,13.275
367,12.676
368,12.304
369,12.167
370,12.402
371,12.382
372,12.216
373,12.392
374,12.441
375,12.725
376,12.990
377,13.088
378,13.127
379,13.402
380,13.755
381,14.118
382,14.284
383,14.725
384,15.265
385,15.853
386,16.314
387,17.000
388,17.706
389,18.637
390,19.559
391,20.559
392,21.490
393,22.647
394,23.402
395,24.725
396,25.775
397,26.892
398,27.804
399,29.098
400,30.275
401,31.539
402,32.569
403,34.196
404,35.598
405,37.343
406,38.814
407,40.961
408,43.245
409,45.931
410,48.578
411,52.157
412,55.647
413,60.255
414,64.559
415,70.422
416,75.471
417,81.784
418,88.137
419,96.353
420,102.990
421,110.196
422,114.402
423,117.686
424,118.902
425,121.098
426,121.745
427,122.000
428,121.216
429,119.039
430,117.941
431,109.627
432,97.588
433,83.500
434,75.814
435,71.529
436,70.088
437,69.627
438,69.863
439,70.588
440,71.686
441,73.971
442,76.725
443,80.059
444,82.755
445,86.206
446,89.696
447,95.392
448,100.647
449,105.373
450,105.725
451,99.441
452,90.471
453,79.588
454,72.382
455,66.824
456,62.696
457,56.637
458,50.814
459,43.755
460,39.235
461,35.843
462,33.902
463,31.549
464,29.510
465,27.206
466,25.010
467,22.971
468,21.618
469,19.480
470,17.765
471,16.559
472,15.873
473,15.353
474,15.265
475,15.147
476,14.990
477,14.735
478,14.461
479,14.029
480,13.667
481,13.304
482,13.118
483,13.010
484,12.706
485,12.392
486,12.186
487,12.137
488,12.216
489,12.127
490,12.118
491,12.255
492,12.049
493,12.108
494,12.343
495,12.510
496,12.588
497,12.794
498,12.804
499,12.637
500,12.676
501,13.078
502,13.157
503,13.196
504,13.304
505,13.480
506,13.804
507,13.961
508,14.059
509,14.206
510,14.382
511,14.559
512,14.814
513,15.108
514,15.353
515,15.588
516,15.725
517,15.882
518,16.098
519,16.294
520,16.412
521,16.784
522,17.029
523,17.216
524,17.392
525,17.559
526,17.735
527,18.167
528,18.176
529,18.343
530,18.618
531,18.824
532,19.049
533,19.196
534,19.216
535,19.333
536,19.569
537,19.794
538,19.961
539,20.294
540,20.598
541,21.088
542,21.324
543,21.490
544,21.637
545,21.775
546,22.039
547,22.490
548,22.784
549,23.245
550,23.402
551,23.402
552,23.490
553,23.696
554,24.216
555,24.627
556,24.627
557,24.814
558,25.020
559,25.147
560,25.186
561,25.549
562,25.961
563,26.137
564,26.353
565,26.559
566,26.598
567,26.941
568,27.059
569,27.206
570,27.431
571,27.765
572,28.245
573,28.451
574,28.588
575,28.912
576,29.176
577,29.598
578,29.833
579,30.069
580,30.275
581,30.461
582,30.833
583,31.461
584,31.667
585,31.794
586,32.167
587,32.314
588,32.559
589,32.882
590,32.971
591,33.441
592,33.637
593,33.882
594,34.088
595,34.078
596,34.147
597,34.157
598,34.490
599,34.971
600,34.912
601,35.000
602,35.324
603,35.549
604,35.480
605,35.755
606,35.853
607,35.882
608,36.000
609,35.755
610,35.657
611,35.951
612,36.206
613,35.873
614,35.971
615,36.265
616,35.912
617,35.843
618,35.912
619,35.922
620,35.745
621,35.559
622,35.569
623,35.480
624,35.539
625,35.382
626,35.098
627,34.784
628,34.696
629,34.657
630,34.245
631,33.941
632,33.951
633,33.578
634,33.382
635,33.363
636,33.029
637,32.784
638,32.500
639,32.029
640,31.941
641,31.559
642,31.216
643,31.020
644,30.912
645,30.667
646,30.245
647,29.657
648,29.422
649,29.147
650,29.069
651,28.882
652,28.676
653,28.176
654,27.833
655,27.461
656,26.931
657,26.667
658,26.392
659,25.745
660,25.275
661,24.961
662,24.559
663,24.108
664,23.843
665,23.392
666,23.029
667,22.608
668,22.343
669,22.010
670,21.725
671,21.265
672,20.922
673,20.735
674,20.814
675,20.618
676,20.088
677,19.696
678,19.353
679,19.029
680,18.804
681,18.431
682,18.186
683,17.775
684,17.510
685,17.206
686,16.902
687,16.539
688,16.127
689,15.765
690,15.706
691,15.373
692,15.216
693,14.941
694,14.716
695,14.657
696,14.363
697,14.225
698,14.029
699,13.784
700,13.745
701,13.667
702,13.569
703,13.343
704,13.167
705,13.176
706,13.147
707,12.931
708,12.873
709,12.931
710,12.765
711,12.510
712,12.333
713,12.265
714,12.098
715,11.892
716,11.833
717,11.745
718,11.627
719,11.343
720,11.304
721,11.402
722,11.275
723,10.882
724,10.735
725,10.637
726,10.392
727,10.206
728,10.147
729,9.941
730,9.794
731,9.716
732,9.471
733,9.235
734,9.294
735,9.314
736,9.167
737,9.157
738,9.186
739,9.108
740,8.980
741,8.971
742,8.951
743,9.108
744,9.392
745,9.598
746,9.804
747,10.098
748,10.324
749,10.735
750,11.029
751,11.373
752,11.745
753,11.980
754,12.216
755,12.725
756,13.373
757,14.676
758,16.069
759,17.941
760,19.765
761,22.098
762,24.255
763,26.657
764,28.020
765,29.549
766,30.716
767,32.696
768,35.745
769,40.843
770,45.088
771,48.804
772,51.206
773,53.902
774,57.363
775,63.520
776,70.618
777,79.020
778,83.176
779,83.755
780,81.157
781,75.765
782,70.804
783,65.765
784,62.500
785,59.343
786,57.402
787,56.284
788,55.529
789,54.029
790,53.108
791,53.373
792,54.147
793,55.980
794,58.206
795,61.392
796,64.608
797,70.559
798,78.863
799,92.029
800,103.451
801,113.167
802,115.608
803,114.118
804,112.049
805,109.559
806,106.686
807,101.422
808,95.588
809,87.755
810,82.618
811,77.931
812,73.382
813,67.333
814,62.794
815,57.559
816,53.667
817,49.882
818,46.775
819,43.157
820,40.353
821,37.706
822,36.059
823,34.039
824,32.363
825,30.363
826,28.863
827,27.176
828,25.765
829,24.382
830,23.265
831,21.735
832,20.735
833,19.980
834,19.225
835,18.245
836,17.539
837,16.627
838,15.824
839,14.980
840,14.167
841,13.147
842,12.304
843,11.618
844,11.049
845,10.324
846,9.902
847,9.196
848,8.676
849,8.588
850,8.343
851,8.029
852,7.951
853,7.912
854,7.853
855,7.686
856,7.706
857,7.647
858,7.775
859,8.069
860,8.343
861,8.765
862,9.049
863,9.549
864,9.951
865,10.333
866,10.863
867,11.882
868,13.392
869,16.284
870,18.833
871,21.559
872,23.686
873,26.431
874,30.363
875,36.755
876,41.333
877,45.676
878,50.784
879,59.902
880,66.255
881,67.147
882,63.608
883,58.392
884,54.088
885,49.843
886,47.088
887,44.755
888,43.882
889,44.451
890,46.098
891,49.961
892,55.078
893,63.912
894,75.216
895,89.098
896,95.559
897,94.706
898,90.931
899,86.206
900,80.647
901,72.873
902,67.020
903,61.657
904,57.098
905,51.039
906,46.569
907,42.216
908,38.853
909,35.510
910,33.206
911,30.461
912,28.402
913,26.304
914,24.794
915,23.078
916,21.608
917,20.265
918,19.147
919,16.971
920,14.775
921,12.480
922,10.794
923,9.480
924,8.990
925,8.255
926,7.647
927,7.333
928,7.157
929,7.049
930,7.078
931,7.098
932,6.873
933,6.863
934,7.059
935,7.039
936,6.902
937,7.059
938,7.510
939,8.000
940,8.412
941,8.843
942,9.275
943,10.059
944,11.255
945,13.627
946,16.294
947,19.549
948,22.137
949,26.490
950,31.598
951,37.873
952,42.755
953,49.676
954,55.314
955,56.882
956,53.176
957,46.843
958,42.833
959,39.716
960,38.078
961,37.598
962,38.500
963,41.353
964,45.745
965,53.873
966,62.676
967,72.176
968,74.882
969,72.431
970,69.137
971,63.118
972,56.373
973,48.853
974,43.765
975,39.441
976,37.490
977,35.373
978,31.824
979,26.206
980,21.608
981,16.892
982,13.941
983,11.667
984,10.490
985,9.441
986,8.765
987,8.196
988,7.980
989,7.725
990,7.284
991,6.941
992,6.824
993,6.647
994,6.461
995,6.510
996,6.627
997,6.559
998,6.490
999,6.618
1000,6.716
1001,6.902
1002,7.049
1003,7.265
1004,7.725
1005,8.167
1006,8.402
1007,9.461
1008,11.020
1009,13.324
1010,15.882
1011,19.578
1012,23.696
1013,30.245
1014,36.412
1015,43.961
1016,50.608
1017,54.078
1018,50.637
1019,45.137
1020,42.814
1021,41.824
1022,40.676
1023,37.235
1024,34.510
1025,35.373
1026,40.118
1027,53.059
1028,63.157
1029,61.225
1030,54.147
1031,43.892
1032,34.275
1033,25.902
1034,19.912
1035,14.961
1036,12.961
1037,11.618
1038,10.569
1039,9.657
1040,9.255
1041,8.529
1042,7.931
1043,7.314
1044,7.069
1045,6.755
1046,6.490
1047,6.294
1048,6.196
1049,6.127
1050,6.049
1051,5.990
1052,6.216
1053,6.333
1054,6.353
1055,6.431
1056,6.608
1057,6.951
1058,7.500
1059,8.284
1060,8.794
1061,9.500
1062,10.755
1063,13.735
1064,16.627
1065,20.598
1066,26.755
1067,35.657
1068,43.451
1069,48.431
1070,42.618
1071,29.333
1072,21.363
1073,17.863
1074,17.657
1075,19.078
1076,21.520
1077,25.539
1078,28.431
1079,29.471
1080,27.578
1081,23.304
1082,19.637
1083,15.961
1084,13.794
1085,11.853
1086,10.667
1087,9.657
1088,8.902
1089,8.206
1090,7.598
1091,6.951
1092,6.794
1093,6.510
1094,6.137
1095,6.059
1096,5.990
1097,5.814
1098,5.775
1099,5.784
1100,5.843
1101,6.000
1102,6.108
1103,6.265
1104,6.608
1105,7.098
1106,7.490
1107,8.088
1108,8.853
1109,10.275
1110,11.667
1111,13.382
1112,14.500
1113,15.451
1114,15.647
1115,14.490
1116,13.353
1117,12.235
1118,11.402
1119,10.902
1120,10.863
1121,11.186
1122,11.471
1123,11.480
1124,11.118
1125,10.500
1126,9.931
1127,9.324
1128,8.784
1129,8.304
1130,7.824
1131,7.363
1132,6.931
1133,6.480
1134,6.235
1135,5.804
1136,5.686
1137,5.588
1138,5.559
1139,5.431
1140,5.500
1141,5.529
1142,5.373
1143,5.284
1144,5.294
1145,5.333
1146,5.343
1147,5.343
1148,5.265
1149,5.284
1150,5.373
1151,5.392
1152,5.343
1153,5.490
1154,5.510
1155,5.382
1156,5.392
1157,5.539
1158,5.461
1159,5.225
1160,5.245
1161,5.314
1162,5.343
1163,5.265
1164,5.206
1165,5.216
1166,5.265
1167,5.333
1168,5.167
1169,5.098
1170,5.157
1171,5.088
1172,5.039
1173,4.990
1174,5.059
1175,5.049
1176,5.078
1177,5.010
1178,4.853
1179,4.941
1180,5.098
1181,5.059
1182,4.892
1183,4.882
1184,4.951
1185,5.000
1186,5.069
1187,5.098
1188,5.167
1189,5.127
1190,5.049
1191,5.069
1192,5.118
1193,5.069
1194,5.108
1195,5.127
