X,Y
0,40.167
1,39.958
2,39.775
3,40.075
4,40.408
5,39.900
6,40.108
7,40.008
8,40.025
9,39.767
10,39.575
11,39.467
12,38.858
13,39.192
14,39.458
15,39.483
16,39.683
17,40.000
18,39.592
19,38.917
20,39.400
21,39.908
22,40.292
23,39.917
24,39.100
25,39.308
26,40.083
27,40.150
28,39.167
29,39.333
30,39.367
31,38.675
32,39.150
33,39.817
34,39.983
35,39.342
36,39.242
37,39.250
38,38.958
39,39.200
40,39.408
41,39.392
42,39.283
43,39.042
44,39.117
45,39.167
46,39.467
47,39.492
48,39.533
49,39.725
50,39.458
51,39.283
52,39.183
53,39.383
54,38.975
55,38.775
56,39.408
57,39.333
58,38.767
59,38.742
60,38.750
61,38.558
62,38.400
63,38.850
64,38.850
65,38.625
66,37.983
67,37.450
68,38.008
69,38.392
70,38.917
71,38.550
72,37.917
73,38.333
74,38.175
75,38.350
76,38.583
77,38.383
78,38.467
79,38.250
80,37.992
81,37.825
82,37.633
83,38.100
84,38.700
85,38.883
86,38.667
87,38.225
88,37.883
89,37.808
90,38.450
91,38.608
92,39.158
93,39.533
94,39.658
95,39.692
96,39.742
97,40.317
98,40.525
99,39.800
100,39.158
101,38.592
102,37.850
103,37.775
104,37.950
105,37.883
106,37.192
107,36.783
108,36.325
109,36.808
110,37.467
111,37.367
112,37.167
113,36.867
114,36.567
115,36.725
116,36.750
117,36.658
118,36.550
119,36.508
120,36.333
121,36.508
122,36.500
123,36.742
124,37.017
125,36.683
126,36.742
127,36.275
128,36.283
129,36.767
130,36.642
131,36.342
132,36.333
133,36.533
134,36.908
135,37.125
136,37.167
137,36.975
138,37.100
139,37.400
140,38.233
141,38.467
142,39.275
143,39.642
144,40.292
145,40.117
146,40.450
147,40.450
148,40.483
149,40.775
150,40.433
151,40.133
152,39.525
153,39.283
154,38.533
155,37.733
156,37.108
157,37.667
158,37.675
159,37.117
160,37.017
161,37.025
162,36.450
163,36.125
164,35.517
165,35.192
166,35.592
167,35.775
168,35.383
169,35.450
170,35.067
171,34.883
172,35.025
173,34.933
174,35.133
175,35.200
176,34.775
177,34.567
178,34.300
179,34.708
180,34.733
181,34.358
182,34.317
183,34.175
184,34.583
185,34.550
186,34.533
187,34.875
188,35.067
189,35.000
190,35.233
191,35.550
192,35.608
193,35.950
194,37.492
195,37.725
196,38.058
197,38.492
198,41.792
199,42.467
200,40.625
201,40.517
202,41.200
203,41.342
204,41.017
205,40.542
206,40.617
207,40.233
208,39.825
209,40.283
210,41.075
211,41.042
212,41.083
213,41.458
214,42.617
215,43.842
216,47.408
217,49.150
218,53.933
219,56.033
220,59.817
221,61.333
222,65.442
223,66.092
224,65.683
225,64.642
226,62.300
227,60.533
228,56.033
229,53.925
230,49.092
231,47.450
232,44.133
233,43.033
234,41.100
235,40.583
236,38.717
237,37.775
238,37.558
239,37.375
240,36.758
241,36.625
242,36.125
243,35.875
244,35.717
245,35.975
246,35.025
247,35.217
248,36.375
249,36.583
250,37.142
251,37.458
252,38.383
253,39.117
254,41.167
255,41.975
256,43.817
257,44.783
258,47.117
259,48.558
260,51.600
261,52.675
262,55.783
263,57.308
264,61.642
265,63.275
266,68.142
267,70.958
268,76.525
269,80.508
270,89.117
271,93.467
272,103.642
273,108.183
274,120.058
275,125.367
276,134.775
277,136.675
278,137.208
279,135.633
280,131.325
281,127.833
282,118.942
283,111.750
284,93.600
285,86.892
286,75.900
287,71.675
288,60.950
289,57.258
290,51.417
291,49.308
292,46.658
293,46.017
294,42.933
295,41.258
296,38.600
297,37.867
298,36.417
299,35.908
300,35.517
301,35.500
302,34.258
303,34.067
304,34.442
305,34.508
306,34.233
307,33.983
308,33.650
309,33.792
310,34.275
311,34.900
312,36.117
313,36.525
314,37.142
315,37.592
316,39.642
317,40.183
318,42.108
319,43.408
320,46.125
321,47.600
322,50.450
323,52.167
324,57.625
325,59.567
326,62.958
327,65.308
328,70.467
329,72.842
330,79.733
331,83.133
332,90.625
333,93.150
334,97.358
335,100.367
336,107.200
337,110.308
338,116.450
339,119.858
340,127.283
341,130.600
342,138.433
343,141.042
344,147.033
345,147.458
346,144.150
347,141.800
348,139.792
349,139.283
350,135.475
351,128.458
352,112.058
353,103.825
354,88.917
355,84.708
356,73.900
357,68.225
358,53.567
359,49.475
360,43.967
361,42.650
362,41.417
363,41.275
364,40.092
365,39.300
366,36.575
367,35.950
368,34.992
369,34.417
370,33.475
371,33.025
372,32.175
373,32.200
374,32.175
375,31.942
376,31.992
377,32.367
378,32.533
379,32.008
380,31.283
381,30.933
382,31.333
383,31.917
384,32.333
385,32.317
386,32.942
387,33.592
388,34.600
389,35.300
390,36.525
391,37.083
392,39.750
393,41.117
394,43.383
395,44.642
396,47.700
397,49.342
398,53.317
399,55.075
400,59.750
401,61.800
402,66.200
403,67.858
404,71.925
405,74.567
406,79.583
407,81.675
408,86.592
409,89.008
410,93.667
411,95.442
412,99.125
413,100.475
414,104.900
415,106.750
416,110.883
417,112.975
418,116.983
419,119.300
420,124.733
421,126.650
422,131.125
423,133.783
424,141.433
425,144.108
426,142.608
427,139.008
428,132.475
429,130.417
430,130.250
431,129.925
432,126.600
433,122.367
434,113.142
435,106.917
436,92.358
437,87.042
438,81.067
439,80.650
440,77.067
441,73.133
442,59.542
443,54.217
444,45.133
445,43.150
446,40.525
447,39.808
448,39.275
449,38.725
450,37.092
451,36.633
452,34.775
453,34.100
454,32.567
455,31.983
456,31.550
457,31.425
458,30.908
459,30.675
460,29.808
461,29.400
462,29.392
463,29.492
464,28.817
465,28.558
466,28.525
467,28.492
468,28.733
469,28.433
470,28.817
471,29.133
472,29.483
473,29.667
474,28.942
475,29.058
476,30.433
477,30.992
478,31.800
479,32.442
480,33.575
481,33.758
482,35.283
483,35.950
484,37.458
485,38.833
486,40.592
487,41.308
488,43.567
489,44.808
490,47.058
491,48.008
492,50.450
493,51.442
494,53.183
495,54.725
496,57.950
497,59.267
498,62.467
499,64.150
500,67.717
501,69.225
502,73.433
503,75.383
504,79.725
505,81.192
506,84.367
507,85.975
508,89.733
509,91.592
510,94.900
511,96.417
512,99.783
513,101.475
514,105.542
515,106.800
516,111.008
517,112.117
518,114.983
519,116.933
520,121.217
521,123.692
522,126.892
523,128.450
524,133.600
525,135.700
526,139.758
527,141.600
528,145.317
529,146.700
530,150.517
531,152.417
532,155.283
533,157.233
534,158.617
535,156.892
536,150.625
537,147.258
538,143.892
539,142.800
540,143.183
541,143.950
542,144.608
543,142.625
544,137.325
545,132.842
546,123.983
547,119.667
548,110.225
549,104.008
550,89.133
551,84.925
552,79.350
553,77.333
554,74.800
555,75.058
556,73.392
557,70.867
558,61.742
559,57.442
560,47.917
561,45.400
562,41.500
563,40.867
564,39.808
565,39.175
566,37.783
567,37.475
568,37.083
569,36.808
570,37.025
571,36.642
572,35.733
573,35.583
574,34.342
575,33.808
576,31.900
577,31.383
578,30.342
579,29.725
580,28.967
581,28.992
582,28.675
583,28.150
584,27.917
585,27.833
586,26.808
587,26.567
588,26.342
589,25.958
590,25.850
591,25.867
592,25.658
593,25.708
594,25.733
595,25.792
596,25.708
597,25.367
598,25.292
599,25.467
600,25.175
601,25.233
602,25.608
603,25.783
604,25.708
605,25.700
606,25.900
607,25.900
608,25.858
609,25.525
610,25.717
611,25.967
612,26.258
613,26.933
614,26.950
615,27.033
616,29.733
617,30.067
618,29.017
619,29.050
620,29.525
621,29.983
622,30.942
623,31.250
624,32.092
625,32.708
626,33.275
627,33.783
628,34.758
629,35.408
630,36.200
631,36.108
632,36.758
633,37.317
634,37.900
635,38.283
636,39.892
637,40.108
638,40.250
639,41.083
640,41.642
641,41.750
642,43.358
643,43.958
644,45.300
645,45.842
646,46.850
647,47.175
648,48.125
649,49.358
650,51.317
651,51.700
652,53.308
653,54.208
654,56.358
655,56.983
656,58.025
657,59.033
658,60.517
659,60.775
660,62.942
661,63.858
662,65.300
663,66.025
664,66.442
665,66.750
666,68.725
667,69.333
668,70.775
669,71.675
670,72.633
671,72.892
672,73.367
673,73.250
674,74.208
675,74.483
676,74.958
677,75.417
678,76.542
679,77.075
680,78.075
681,78.275
682,78.667
683,79.217
684,81.208
685,81.475
686,82.125
687,82.908
688,83.442
689,83.658
690,85.908
691,86.500
692,86.600
693,87.000
694,89.158
695,89.042
696,89.192
697,89.817
698,89.983
699,90.392
700,92.367
701,92.517
702,92.933
703,92.917
704,92.825
705,93.483
706,94.000
