X,Y
0,33.065
1,32.551
2,32.145
3,32.601
4,33.493
5,33.812
6,33.384
7,33.094
8,33.297
9,33.304
10,33.123
11,33.246
12,33.572
13,33.514
14,33.348
15,32.971
16,33.246
17,33.572
18,33.232
19,33.406
20,33.703
21,33.993
22,34.123
23,33.529
24,33.181
25,33.254
26,33.022
27,32.870
28,33.036
29,33.101
30,32.543
31,32.783
32,33.370
33,33.341
34,33.246
35,33.435
36,33.616
37,33.478
38,33.058
39,32.862
40,33.232
41,33.572
42,33.703
43,33.094
44,33.051
45,33.754
46,33.906
47,33.638
48,33.290
49,33.210
50,33.029
51,32.790
52,32.790
53,33.261
54,33.014
55,32.391
56,32.609
57,32.826
58,32.522
59,32.254
60,32.246
61,32.370
62,32.761
63,32.696
64,32.435
65,32.732
66,32.841
67,33.080
68,32.855
69,32.594
70,32.500
71,32.739
72,33.043
73,32.790
74,32.920
75,33.109
76,33.399
77,33.232
78,33.652
79,33.928
80,33.884
81,33.754
82,34.283
83,34.159
84,33.558
85,33.667
86,33.471
87,33.406
88,33.703
89,33.493
90,33.080
91,33.268
92,32.928
93,32.638
94,32.862
95,32.877
96,33.116
97,33.435
98,33.072
99,32.957
100,33.210
101,33.138
102,33.261
103,33.703
104,33.710
105,33.464
106,33.681
107,34.196
108,34.377
109,33.659
110,33.696
111,33.899
112,33.725
113,33.667
114,33.174
115,32.899
116,32.580
117,32.978
118,32.746
119,32.435
120,32.420
121,32.196
122,32.623
123,32.746
124,32.406
125,32.072
126,32.058
127,32.428
128,32.239
129,32.101
130,32.174
131,32.080
132,31.906
133,31.928
134,32.239
135,32.130
136,32.217
137,32.500
138,32.833
139,32.964
140,32.855
141,32.746
142,32.420
143,32.529
144,33.674
145,33.783
146,33.413
147,33.529
148,33.609
149,33.543
150,34.312
151,34.529
152,35.007
153,35.304
154,35.594
155,35.449
156,35.246
157,34.855
158,34.587
159,34.674
160,34.413
161,34.413
162,34.217
163,34.246
164,34.326
165,34.094
166,33.754
167,33.725
168,34.312
169,34.536
170,34.652
171,34.899
172,34.942
173,34.935
174,36.877
175,37.558
176,36.826
177,36.768
178,37.978
179,38.572
180,39.036
181,39.094
182,39.406
183,39.833
184,39.942
185,39.457
186,39.261
187,39.754
188,39.746
189,39.804
190,40.478
191,40.986
192,42.101
193,43.217
194,44.993
195,46.072
196,48.739
197,49.935
198,52.486
199,53.638
200,54.109
201,53.819
202,53.514
203,54.072
204,56.138
205,57.558
206,61.065
207,62.493
208,62.848
209,61.174
210,55.486
211,51.884
212,45.826
213,43.130
214,40.696
215,39.993
216,39.957
217,39.942
218,40.884
219,41.522
220,41.659
221,42.036
222,43.870
223,44.696
224,46.014
225,46.290
226,48.667
227,49.572
228,51.449
229,52.275
230,54.297
231,54.790
232,56.275
233,56.688
234,57.964
235,58.464
236,59.232
237,59.638
238,61.928
239,63.819
240,69.036
241,70.471
242,74.377
243,76.449
244,81.326
245,83.717
246,89.630
247,90.920
248,89.435
249,88.022
250,84.899
251,85.341
252,90.283
253,92.949
254,96.797
255,97.109
256,91.239
257,86.841
258,74.188
259,70.572
260,65.022
261,63.884
262,60.478
263,59.558
264,58.543
265,58.065
266,57.239
267,57.703
268,58.710
269,58.797
270,59.514
271,61.116
272,64.652
273,67.384
274,74.101
275,78.217
276,86.986
277,91.036
278,94.964
279,94.022
280,85.420
281,79.761
282,73.181
283,71.746
284,71.746
285,72.348
286,73.768
287,74.297
288,74.268
289,71.572
290,61.442
291,55.362
292,47.884
293,45.906
294,44.645
295,43.797
296,43.217
297,43.159
298,42.797
299,42.928
300,43.565
301,43.413
302,43.645
303,43.935
304,45.326
305,45.659
306,46.964
307,47.674
308,48.623
309,48.841
310,49.275
311,49.978
312,51.558
313,51.652
314,53.036
315,53.428
316,54.239
317,54.746
318,55.696
319,56.391
320,57.819
321,58.616
322,60.384
323,61.007
324,63.790
325,65.362
326,69.225
327,71.500
328,76.413
329,77.841
330,82.739
331,85.529
332,91.826
333,94.391
334,103.623
335,107.471
336,115.319
337,116.543
338,112.319
339,108.826
340,97.210
341,93.616
342,88.435
343,87.377
344,86.877
345,87.870
346,90.507
347,92.406
348,96.203
349,95.290
350,82.558
351,76.551
352,66.957
353,64.957
354,62.341
355,61.710
356,60.826
357,60.449
358,59.623
359,59.210
360,58.804
361,59.326
362,59.783
363,61.051
364,63.899
365,65.261
366,67.471
367,69.159
368,72.783
369,74.928
370,79.500
371,82.486
372,87.319
373,90.130
374,95.609
375,97.862
376,98.428
377,96.333
378,89.326
379,83.891
380,74.297
381,70.877
382,69.616
383,69.261
384,69.529
385,70.341
386,73.377
387,76.138
388,81.036
389,83.181
390,83.399
391,79.775
392,68.152
393,61.435
394,52.275
395,49.283
396,45.674
397,44.109
398,42.826
399,42.268
400,41.493
401,41.152
402,40.862
403,41.167
404,42.188
405,42.167
406,42.522
407,42.906
408,44.065
409,44.312
410,44.659
411,44.920
412,46.007
413,46.355
414,47.254
415,47.935
416,48.812
417,49.000
418,50.761
419,51.457
420,52.000
421,52.630
422,53.841
423,54.246
424,55.833
425,56.312
426,56.775
427,56.565
428,57.790
429,58.797
430,59.826
431,60.116
432,61.464
433,62.283
434,64.362
435,65.246
436,66.841
437,67.681
438,71.420
439,73.370
440,76.891
441,78.087
442,81.551
443,82.703
444,86.746
445,88.391
446,91.725
447,92.891
448,95.565
449,96.630
450,99.761
451,101.775
452,105.935
453,107.116
454,109.558
455,110.449
456,108.630
457,106.739
458,99.754
459,96.471
460,89.790
461,88.565
462,87.478
463,87.594
464,89.442
465,90.210
466,91.377
467,91.790
468,93.928
469,95.029
470,97.261
471,98.326
472,98.377
473,96.645
474,88.551
475,84.899
476,75.703
477,73.246
478,69.478
479,68.558
480,66.138
481,65.268
482,64.275
483,64.580
484,64.449
485,64.217
486,63.841
487,64.254
488,63.587
489,63.457
490,63.587
491,64.109
492,65.268
493,66.145
494,67.558
495,68.232
496,70.478
497,71.514
498,72.297
499,72.971
500,74.152
501,74.667
502,78.203
503,79.848
504,81.645
505,83.319
506,86.348
507,88.268
508,91.587
509,92.928
510,95.674
511,96.580
512,98.022
513,98.543
514,96.312
515,94.659
516,91.232
517,88.587
518,83.826
519,81.138
520,78.457
521,77.862
522,77.717
523,77.732
524,78.942
525,79.529
526,80.391
527,81.022
528,81.971
529,82.312
530,83.210
531,83.957
532,85.022
533,85.232
534,85.870
535,86.217
536,86.471
537,85.957
538,83.812
539,82.181
540,77.261
541,74.094
542,67.616
543,63.681
544,57.920
545,55.297
546,52.159
547,50.710
548,48.681
549,47.935
550,47.058
551,46.536
552,46.014
553,45.978
554,46.036
555,45.855
556,45.290
557,45.246
558,45.601
559,45.283
560,45.152
561,45.377
562,44.891
563,44.877
564,45.572
565,45.471
566,45.029
567,45.101
568,45.377
569,45.348
570,45.826
571,46.109
572,45.986
573,45.804
574,46.551
575,46.819
576,46.514
577,46.587
578,47.101
579,47.275
580,46.812
581,46.333
582,46.370
583,46.681
584,46.812
585,47.065
586,47.036
587,46.739
588,47.333
589,47.406
590,47.717
591,47.884
592,48.507
593,48.594
594,48.790
595,49.225
596,50.522
597,50.500
598,50.275
599,50.862
600,51.297
601,51.717
602,53.304
603,53.428
604,54.043
605,54.623
606,55.551
607,55.833
608,57.058
609,57.312
610,57.754
611,57.993
612,59.478
613,60.457
614,61.000
615,61.232
616,63.029
617,63.551
618,64.652
619,65.399
620,66.645
621,66.957
622,68.543
623,68.942
624,70.094
625,70.652
626,70.471
627,70.761
628,72.333
629,72.942
630,74.790
631,75.355
632,75.906
633,76.384
634,77.457
635,77.935
636,79.188
637,78.877
638,80.080
639,81.283
640,81.957
641,82.304
642,84.978
643,85.304
644,86.362
645,87.014
646,87.362
647,87.659
648,89.051
649,89.014
650,89.514
651,90.304
652,91.130
653,90.913
654,90.819
655,91.333
656,92.051
657,92.370
658,92.870
659,92.949
660,94.138
661,94.674
662,95.370
663,94.884
664,95.478
665,96.188
666,96.478
667,96.891
668,97.435
669,97.703
670,98.688
671,98.696
672,99.413
673,99.312
674,99.674
